"i","j","fij"
"PAK","AFG",17225
"TJK","AFG",36733
"UZB","AFG",1836
"CAN","ALB",1244
"GRC","ALB",43331
"ITA","ALB",12200
"MKD","ALB",732
"TUR","ALB",2690
"USA","ALB",3255
"FRA","DZA",1321
"DEU","DZA",3661
"IDN","DZA",1223
"IRQ","DZA",4249
"ITA","DZA",1942
"JOR","DZA",2272
"KWT","DZA",1308
"LBN","DZA",1395
"LBY","DZA",2154
"MYS","DZA",1264
"RUS","DZA",3545
"SAU","DZA",3497
"SOM","DZA",6248
"PSE","DZA",33836
"SDN","DZA",5362
"SYR","DZA",3312
"GBR","DZA",1430
"USA","DZA",2802
"ESH","DZA",166903
"YEM","DZA",2480
"CHN","ASM",200
"FJI","ASM",101
"NZL","ASM",233
"PHL","ASM",520
"KOR","ASM",192
"WSM","ASM",16157
"TKL","ASM",29
"TON","ASM",1223
"USA","ASM",3544
"VNM","ASM",102
"ARG","AND",118
"AUS","AND",39
"BEL","AND",241
"CHL","AND",63
"DNK","AND",111
"FRA","AND",4216
"DEU","AND",351
"ITA","AND",130
"MAR","AND",383
"NLD","AND",209
"PHL","AND",222
"PRT","AND",5364
"ESP","AND",26972
"SWE","AND",52
"CHE","AND",69
"GBR","AND",975
"USA","AND",95
"URY","AND",78
"CPV","AGO",4147
"TCD","AGO",14
"COG","AGO",477
"CIV","AGO",6
"COD","AGO",14957
"GIN","AGO",152
"MOZ","AGO",113
"NAM","AGO",401
"PRT","AGO",6156
"RWA","AGO",115
"STP","AGO",3617
"ZAF","AGO",2832
"ZMB","AGO",139
"CAN","AIA",36
"DOM","AIA",397
"GUY","AIA",233
"JAM","AIA",283
"MSR","AIA",174
"KNA","AIA",549
"GBR","AIA",254
"USA","AIA",277
"VIR","AIA",247
"AIA","ATG",25
"ABW","ATG",6
"AUS","ATG",7
"BHS","ATG",4
"BRB","ATG",226
"BLZ","ATG",10
"BMU","ATG",10
"BES","ATG",7
"VGB","ATG",73
"CAN","ATG",287
"CHN","ATG",84
"CUB","ATG",15
"CUW","ATG",13
"DMA","ATG",3170
"DOM","ATG",1044
"EGY","ATG",10
"ETH","ATG",38
"FRA","ATG",33
"GUF","ATG",4
"DEU","ATG",57
"GHA","ATG",18
"GRD","ATG",137
"GLP","ATG",54
"GUY","ATG",3489
"HTI","ATG",19
"HND","ATG",5
"IND","ATG",49
"ITA","ATG",54
"JAM","ATG",1832
"JPN","ATG",10
"LBN","ATG",46
"MTQ","ATG",5
"MEX","ATG",4
"MSR","ATG",890
"NLD","ATG",15
"NZL","ATG",7
"NGA","ATG",34
"PAK","ATG",4
"PRI","ATG",37
"KNA","ATG",430
"LCA","ATG",474
"VCT","ATG",616
"SXM","ATG",14
"ZAF","ATG",28
"ESP","ATG",8
"SUR","ATG",23
"SYR","ATG",171
"TTO","ATG",474
"TCA","ATG",5
"GBR","ATG",720
"USA","ATG",1733
"VIR","ATG",440
"VEN","ATG",22
"AFG","ARG",20
"ALB","ARG",144
"DZA","ARG",224
"AND","ARG",1
"AGO","ARG",20
"ARM","ARG",1207
"ABW","ARG",1
"AUS","ARG",600
"AUT","ARG",3201
"BHR","ARG",27
"BRB","ARG",16
