"i","j","fij"
"PAK","AFG",52426
"TJK","AFG",2683
"UZB","AFG",134
"CAN","ALB",165
"GRC","ALB",15526
"ITA","ALB",3886
"MKD","ALB",256
"TUR","ALB",582
"USA","ALB",834
"FRA","DZA",314
"DEU","DZA",515
"IDN","DZA",384
"IRQ","DZA",3956
"ITA","DZA",453
"JOR","DZA",1065
"KWT","DZA",410
"LBN","DZA",748
"LBY","DZA",1099
"MYS","DZA",272
"RUS","DZA",466
"SAU","DZA",1510
"SOM","DZA",5200
"PSE","DZA",14731
"SDN","DZA",748
"SYR","DZA",1449
"GBR","DZA",462
"USA","DZA",578
"ESH","DZA",77913
"YEM","DZA",998
"CHN","ASM",182
"FJI","ASM",165
"NZL","ASM",358
"PHL","ASM",493
"KOR","ASM",144
"WSM","ASM",7886
"TKL","ASM",10
"TON","ASM",613
"USA","ASM",1282
"VNM","ASM",104
"ARG","AND",352
"AUS","AND",0
"BEL","AND",101
"CHL","AND",104
"DNK","AND",0
"FRA","AND",1879
"DEU","AND",166
"ITA","AND",227
"MAR","AND",230
"NLD","AND",116
"PHL","AND",205
"PRT","AND",5276
"ESP","AND",11052
"SWE","AND",0
"CHE","AND",0
"GBR","AND",514
"USA","AND",48
"URY","AND",49
"CPV","AGO",4642
"TCD","AGO",771
"COG","AGO",620
"CIV","AGO",5158
"COD","AGO",36896
"GIN","AGO",7401
"MOZ","AGO",126
"NAM","AGO",458
"PRT","AGO",2855
"RWA","AGO",708
"STP","AGO",3568
"ZAF","AGO",3248
"ZMB","AGO",194
"CAN","AIA",42
"DOM","AIA",241
"GUY","AIA",162
"JAM","AIA",206
"MSR","AIA",87
"KNA","AIA",326
"GBR","AIA",285
"USA","AIA",335
"VIR","AIA",271
"AIA","ATG",20
"ABW","ATG",2
"AUS","ATG",3
"BHS","ATG",1
"BRB","ATG",129
"BLZ","ATG",6
"BMU","ATG",5
"BES","ATG",6
"VGB","ATG",51
"CAN","ATG",233
"CHN","ATG",71
"CUB","ATG",11
"CUW","ATG",11
"DMA","ATG",2762
"DOM","ATG",1157
"EGY","ATG",5
"ETH","ATG",50
"FRA","ATG",22
"GUF","ATG",2
"DEU","ATG",44
"GHA","ATG",16
"GRD","ATG",88
"GLP","ATG",40
"GUY","ATG",3724
"HTI","ATG",17
"HND","ATG",3
"IND","ATG",41
"ITA","ATG",37
"JAM","ATG",2765
"JPN","ATG",11
"LBN","ATG",29
"MTQ","ATG",2
"MEX","ATG",2
"MSR","ATG",588
"NLD","ATG",9
"NZL","ATG",6
"NGA","ATG",22
"PAK","ATG",0
"PRI","ATG",28
"KNA","ATG",264
"LCA","ATG",399
"VCT","ATG",384
"SXM","ATG",11
"ZAF","ATG",24
"ESP","ATG",6
"SUR","ATG",24
"SYR","ATG",131
"TTO","ATG",386
"TCA","ATG",3
"GBR","ATG",527
"USA","ATG",1367
"VIR","ATG",381
"VEN","ATG",20
"AFG","ARG",7
"ALB","ARG",27
"DZA","ARG",40
"AND","ARG",0
"AGO","ARG",6
"ARM","ARG",274
"ABW","ARG",1
"AUS","ARG",129
"AUT","ARG",561
"BHR","ARG",4
"BRB","ARG",6
"BLR","ARG",166
"BEL","ARG",275
"BLZ","ARG",5
"BOL","ARG",215636
"BRA","ARG",28768
"BRN","ARG",0
"BGR","ARG",160
"BFA","ARG",9
"CPV","ARG",14
"KHM","ARG",6
"CAN","ARG",261
"CHL","ARG",117097
"CHN","ARG",6816
"HKG","ARG",0
"COL","ARG",4389
"COG","ARG",20
"CRI","ARG",56
"CIV","ARG",0
"HRV","ARG",493
"CUB","ARG",520
"CYP","ARG",24
"CZE","ARG",1092
"PRK","ARG",0
"DNK","ARG",128
"DMA","ARG",4
"DOM","ARG",508
"ECU","ARG",485
"EGY","ARG",104
"SLV","ARG",36
"EST","ARG",31
"ETH","ARG",17
"FJI","ARG",1
"FIN","ARG",48
"FRA","ARG",4119
"DEU","ARG",5044
