"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,17,,,5250,1896,67,,80,,,93,29,,,,,0,,,,0,,,62,,,,,,11573,,,,,3,,,,42,,,,2,,,,,0,26,,,1347,,,,9,37,,,,,,,,,,143,1580,,,,,20,32463,,,52,,,,,,,,,,,,206,0,6201,,839020,201,33,,1485,37,,,30,,,,396,,,2,,,,81,,12,,,,23,,,,,,,,,,,,,,,,,,35,,,8431,,367,16,,,,,,287,,963267,,,,,,401,18,,,92,,,,,1590,,,,,,,,,,58061,,,,,,,39,0,,,10,,129,9,,,,1909,974,85,9273,10,,,,,,,3871,1015,,,,542,757,4957,,20307,,,,,,,,,,,
"ALB",,,,,,,,,57,,,657,1061,,,,,,,1011,,,,,0,,,,,,,252,,,,,,3212,,,,,14,,,,21,,,,0,,79,63,,54,32,,,49,,,,14,35,,,,,,,,,,12,1687,,,,,7,5106,,,165118,,,,,,,,,,,,66,13,,,,,142,,,128232,,,,,,,,,,4,,,,84,,,128,,,,,,29,,,,,,,,,,,,,,,,,,156,,,,,,,40450,,68,,,,,,,,296,24,15,,,,,,360,383,,,,,,,,26,,,,399,,,,,9,31,,,38,,329,,,,,172,658,,,,,,,,,,1523,,,,,,,810,,16660,,,,,8,,,,,,
"DZA",,,,,,,,,86,,,420,207,,,,,,9,9644,,,,,3,,,,,,,80,,,,,,10648,,,,,18,,,,8,,,,5,,0,28,,8,21,,,290,,,,5,439,,,,,,,,,,50,376506,47,269,22,,11,3335,2,,128,,,66,,,,,,,,,116,5,,,,,196,,16176,4635,,,248,,,,,,,2,,,,1371,,,47,,,,,291,9,,50,577,,,47,,,,,,4318,,,335,,,1113,300,,35,177,,,,,215,,,,,,,5,262,119,69,,,,,,1,357,,,,,,,,,,,2217,21,,,,,11,7,,,46,,6702,,,,,571,2453,,75,,,,,,,4932,165,,,,0,,,3044,,3963,,,,,43,,,27,,,
"ASM",,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,,,,,,,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,0,,,15,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,4,,,,16,,,,,,,,,,4,,,0,,,,,,,,,,,,,,,0,736,,,,,,,,,0,,,,,,,,,,,,,0,,,,,3,,,12,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1917,,,,,1,11,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,
"AGO",,,,,,,,,12,,,191,104,,,,,,,285,,,,,3,,,649,2805,,,2,,,1061,,0,1266,,,,,22,,,,23,,16403,,1,,,50,,,8,,165974,54,,,,11,11,,,282,,81,,,,,34,5444,,,234,,,,,,11,,,,,,,,,,,,19,7,,,,,277,,,886,,,,,,,,,,1,,,,,,,,,,,,29,,,,,,,25,,,,,,,10847,,20302,,,1261,,,,,,,,,53,,,,,,,8,1353,0,91378,,,,,,,135,,,,,,,,,387,,,,,,,,1,0,,,6270,,1115,,,,,239,2108,,,,,,,,,,,,,,,,,2899,411,2746,,,,,75,,,,,117525,
"AIA",,,,,,,,17,,,,,,,,,,,,,,,,,,254,,,,,,8,,,,,,71,,,,,9,,,,13,,,,,,,,,,,,,,,4,73,,,,,,,,,,,,,3,,,,,,,,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,,,538,,,,,,,,,,
"ATG",,,,,,,,,,,,15,5,,5,,,176,,,,,,,0,562,,,,297,,0,,,,,,1197,,,,,6,,,,25,,,,,,,,,,0,,,0,,135,168,,7,,,,,,,,,,,15,,,,,,,,,5,,18,,,,,,6,,,,,,,,,,1,,,10,85,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,55,,,,368,,,13,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,166,44,,25,,,,,,,,,,,,,,,,,,,,,,2,34,,,,,,,,,,,,,,,,,2067,,10312,2662,,,,,,,,,,
"ARG",,,,,71,,,,,,,6101,507,,6,,,,69,599,,,,,14052,27,,,11994,,,29,,,7,,,7090,8,,,,22979,,,,1148,,,,573,,105,105,,17,75,,,505,,,1399,923,74,69,,,,,,15,,,55,6097,,,,,8,2871,,,393,,,,,155,,,,179,,64,105,4,,,,,199,,16754,12443,,1653,,,,,,,,13,,,,,0,33,17,,,,,,3,,,27,,,3313,,,,,,,,,42,,,1116,,191,87,,,,,,289,,,,376,,31921,4232,261,86,559,661,,,,,4,240,,,,,,,,38,,,,35,,,,,31,80,,,506,,40012,,,,,1228,2835,,,,,,,,,,65,,,,,,,3765,,69370,,12102,,,4119,,,,,,
"ARM",,,,,,,,,595,,,515,1010,106540,,,,,2380,2,,,,,1,,,,,,,597,,,,,,946,,,,,6,,,,,,,,2,,,,,258,173,,,214,,,,8,74,,,,231,,,,,,10,3910,,,,,5547,5091,,,4636,,,,,,,,,,,,80,2,,,244,,30,,,175,,,22,2932,,,,2130,,404,,,,84,,211,,,,,,,7,,,,,,37,,,,,,,,,2,,,44,,,,,,,,,17,,,,,,,,69,365,24,,,,,,0,200912,,,,,,,,,,,,131,,,,,47,0,,,,,603,,,,,180,238,,125,,,,,,,,463,3804,,,,22835,,307,,33594,,,3904,,13,,,,,,
"ABW",,,,,,,,2,1,,,30,,,,,,,,,,,,,4,1789,,,,,,0,,,,,,310,,,,,2,,,,124,,,,8,,,,,,,,,0,,18,201,,,,,,,,,,,,,6,,,,,,,,,42,,,,,,,,,,,,,0,,,,,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,,2297,275,,,,242,,,,,,
"AUS",,,,,20,,,3,280,,,,836,,32,,,14,16,582,,,24,3,83,,,58,226,13,220,29,,,,85,,9694,32,8,,,473,1593,3222,,105,,,47,26,,433,,,705,46,59,,794,,4,26,69,161,13,,,,7,,4,,708,241,2398,,39,,,,3999,13,,10922,,,,,20,,,,,,,331,36,414,713,,,2163,84,1402,3511,,4944,153,,,42,,,8,39,,,,202,,8,35,,,1528,22,,2242,,,,,,238,,,1,,,,,,430,71,,4743,168,28136,,,,11,,,471,,,,20,3797,,193,1015,304,646,,,503,,,33,304,,,,9,,,183,,,,,328,19,,2119,,86,153,147,,1656,,2143,54,,,,898,1825,,,526,273,,2,,,,1506,,,,,,,57495,,40648,,,,223,61,20,,,,43,
"AUT",,,,,,,,,1214,,,10069,,,10,,,,43,1263,,,12,,94,,148,,1741,,,41,,,,,,11471,11,11,,,267,,,,102,,,,28,,843,,,95,1903,,,774,,,198,99,254,6,,,,,,,,,108,8438,,,,,12,86088,,,1517,,,,,,,,,24,,,2586,38,,,,,202,,3344,7860,,256,61,,,,,,,48,,,,312,1461,21,270,,,,10,,32,,,,,,361,,,2,,,,,,368,,,3983,,600,15,,,,,,502,,,,20,,,66,736,2329,206,,,,,,252,1931,,,,5,,,,,,,,3773,,,,,930,3235,,,946,,2914,,,,,2659,24886,,37,,,,,,,,6705,,,,,,,13136,,41148,,,,,398,,,,,,
"AZE",,,,,,,,,,303593,,109,348,,,,,,5927,2,,,,,1,,,,,,,508,,,,,,556,,,,,2,,,,,,,,1,,,,,10,39,,,65,,,,,1,,,,582,,,,,,5,216,,,,,3795,6233,,,234,,,,,,,,,,,,55,2,,,382,,27,,7956,59,,,,16633,,,,4178,,1241,,,,,,418,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,38,,,,,,,,,145,5,,,,662,,,355269,,,,,,,,,,,,,,,,,15,0,,,,,331,,,,,135,169,,110,,,,,,,,7545,4041,,,,41804,,284,,7309,,,11543,,,,,,,,
