"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,20,,,12580,5966,224,,258,,,292,60,,,,,0,,,,0,,,223,,,,,,22359,,,,,15,,,,101,,,,3,,,,,4,103,,,2941,,,,23,154,,,,,,,,,,284,3563,,,,,42,69794,,,331,,,,,,,,,,,,532,1,12794,,2087864,269,173,,2790,201,,,76,,,,1219,,,24,,,,236,,35,,,,50,,,,,,,,,,,,,,,,,,58,,,19683,,714,37,,,,,,638,,2069977,,,,,,781,160,,,388,,,,,11486,,,,,,,,,,175068,,,,,,,315,0,,,30,,455,31,,,,4287,2740,172,17118,20,,,,,,,9020,1784,,,,2416,2668,14382,,46342,,,,,,,,,,,
"ALB",,,,,,,,,140,,,1530,2177,,,,,,,2067,,,,,0,,,,,,,528,,,,,,6205,,,,,25,,,,47,,,,3,,157,125,,126,88,,,84,,,,30,88,,,,,,,,,,34,3611,,,,,11,11394,,,400253,,,,,,,,,,,,129,20,,,,,346,,,274408,,,,,,,,,,8,,,,223,,,264,,,,,,48,,,,,,,,,,,,,,,,,,362,,,,,,,69367,,149,,,,,,,,582,60,40,,,,,,675,915,,,,,,,,31,,,,495,,,,,60,76,,,69,,712,,,,,374,1304,,,,,,,,,,3086,,,,,,,2227,,39644,,,,,16,,,,,,
"DZA",,,,,,,,,219,,,1170,893,,,,,,55,21519,,,,,10,,,,,,,178,,,,,,20571,,,,,44,,,,20,,,,9,,0,53,,16,161,,,907,,,,20,648,,,,,,,,,,377,839920,93,710,57,,18,16238,8,,317,,,124,,,,,,,,,467,23,,,,,686,,30056,15810,,,417,,,,,,,12,,,,2642,,,88,,,,,554,31,,91,1601,,,131,,,,,,8877,,,637,,,3717,676,,68,438,,,,,731,,,,,,,14,541,470,187,,,,,,7,1033,,,,,,,,,,,3275,56,,,,,66,25,,,188,,19360,,,,,1681,6648,,138,,,,,,,10041,603,,,,0,,,10318,,11158,,,,,81,,,50,,,
"ASM",,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,30,2,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,9,,,,40,,,,,,,,,,8,,,1,,,,,,,,,,,,,,,1,1313,,,,,,,,,4,,,,,,,,,,,,,0,,,,,3,,,19,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,3717,,,,,1,32,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,
"AGO",,,,,,,,,20,,,420,236,,,,,,,658,,,,,4,,,1320,6355,,,4,,,2209,,0,2446,,,,,55,,,,47,,31100,,2,,,112,,,67,,325733,106,,,,18,21,,,620,,166,,,,,94,12243,,,572,,,,,,19,,,,,,,,,,,,53,19,,,,,559,,,1744,,,,,,,,,,2,,,,,,,,,,,,67,,,,,,,49,,,,,,,22937,,49790,,,3445,,,,,,,,,103,,,,,,,11,2523,28,173193,,,,,,,404,,,,,,,,,654,,,,,,,,16,0,,,15785,,2524,,,,,433,4709,,,,,,,,,,,,,,,,,5717,1018,4475,,,,,161,,,,,238248,
"AIA",,,,,,,,32,,,,,,,,,,,,,,,,,,534,,,,,,21,,,,,,139,,,,,15,,,,37,,,,,,,,,,,,,,,11,170,,,,,,,,,,,,,9,,,,,,,,,17,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,,,1103,,,,,,,,,,
"ATG",,,,,,,,,,,,30,5,,8,,,267,,,,,,,0,1018,,,,524,,3,,,,,,2313,,,,,12,,,,35,,,,,,,,,,3,,,0,,290,325,,13,,,,,,,,,,,20,,,,,,,,,14,,35,,,,,,10,,,,,,,,,,3,,,11,165,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,104,,,,616,,,23,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,319,90,,55,,,,,,,,,,,,,,,,,,,,,,6,80,,,,,,,,,,,,,,,,,3764,,18789,4832,,,,,,,,,,
"ARG",,,,,151,,,,,,,12020,1054,,9,,,,107,1114,,,,,28095,43,,,27597,,,53,,,10,,,13698,13,,,,45770,,,,2582,,,,1120,,171,192,,38,152,,,965,,,3227,2239,183,166,,,,,,39,,,132,10793,,,,,16,4732,,,626,,,,,350,,,,419,,142,223,13,,,,,382,,31828,20245,,3072,,,,,,,,20,,,,,0,72,35,,,,,,10,,,66,,,6625,,,,,,,,,67,,,2020,,373,188,,,,,,533,,,,796,,64404,8282,657,183,1032,1259,,,,,8,543,,,,,,,,81,,,,52,,,,,54,163,,,996,,79339,,,,,2435,6009,,,,,,,,,,131,,,,,,,6561,,128397,,21691,,,8724,,,,,,
"ARM",,,,,,,,,1178,,,980,2111,188400,,,,,5944,4,,,,,1,,,,,,,1150,,,,,,1828,,,,,10,,,,,,,,5,,,,,534,453,,,459,,,,16,118,,,,595,,,,,,19,6970,,,,,12268,10202,,,8899,,,,,,,,,,,,144,2,,,599,,62,,,279,,,32,6716,,,,4449,,1073,,,,188,,681,,,,,,,15,,,,,,75,,,,,,,,,84,,,85,,,,,,,,,33,,,,,,,,141,864,54,,,,,,1,478856,,,,,,,,,,,,167,,,,,94,0,,,,,1315,,,,,341,459,,207,,,,,,,,740,7452,,,,54082,,572,,66937,,,7498,,29,,,,,,
