"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,3,,,10598,4498,148,,267,,,192,1527,,,,,1,,,,18,,,198,,,,,,15252,,,,,18,,,,56,,,,1,,,,,4,142,,,3580,,,,17,142,,,,,,,,,,838,1946,,,,,21,41742,,,2741,,,,,,,,,,,,406,4,4997,,1176408,142,142,,1235,3164,,,44,,,,868,,,23,,,,187,,24,,,,154,,,,,,,,,,,,,,,,,,18,,,18155,,996,29,,,,,,3083,,621787,,,,,,313,135,,,462,,,,,6935,,,,,,,,,,148673,,,,,,,451,0,,,30,,156,33,,,,4487,2090,320,5687,6,,,,,,,5233,349,,,,1713,2219,22370,,29321,,,,,,,,,,,
"ALB",,,,,,,,,61,,,1214,1219,,,,,,,1699,,,,,0,,,,,,,440,,,,,,4835,,,,,17,,,,23,,,,2,,77,41,,105,123,,,77,,,,19,66,,,,,,,,,,94,3015,,,,,4,7015,,,236038,,,,,,,,,,,,79,13,,,,,213,,,190016,,,,,,,,,,4,,,,169,,,125,,,,,,28,,,,,,,,,,,,,,,,,,346,,,,,,,29077,,157,,,,,,,,236,73,26,,,,,,329,337,,,,,,,,7,,,,91,,,,,58,19,,,38,,616,,,,,383,708,,,,,,,,,,1576,,,,,,,4654,,31914,,,,,8,,,,,,
"DZA",,,,,,,,,99,,,811,761,,,,,,44,10643,,,,,5,,,,46,,,153,,,,,,18102,,,,,40,,,,13,,,,3,,13,17,,12,366,,,604,,,,18,281,,,,,,,,,,444,676380,42,463,38,,7,13162,8,,575,,,63,,,,,,,,,437,18,,,,,504,,17046,12733,,,287,,,,,,,12,,,,1669,,,38,,,,,1037,26,,42,1055,,,73,,,,,,4611,,,237,,,2679,401,,45,264,,,,,626,,,,,,,11,229,417,149,,,,,,8,613,,,,,,,,,,,1221,35,,,,,62,21,,,184,,35324,,,,,1304,4489,,60,,,,,,,4921,448,,,,0,,,11105,,8202,,,,,39,,,28,,,
"ASM",,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,,,,,,,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,15,2,,,,,,,,,,,,0,,,,5,,,1,,,,,,,,,,,8,,,,23,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,2,443,,,,,,,,,3,,,,,,,,,,,,,0,,,,,0,,,23,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2002,,,,,0,25,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,
"AGO",,,,,,,,,6,,,229,145,,,,,,,1646,,,,,3,,,1000,3441,,,2,,,659,,1244,1257,,,,,50,,,,24,,7349,,0,,,42,,,110,,126043,61,,,,8,13,,,267,,106,,,,,143,7750,,,372,,,,,,6,,,,,,,,,,,,44,21,,,,,301,,,872,,,,,,,,,,1,,,,,,,,,,,,152,,,,,,,23,,,,,,,14987,,23181,,,5708,,,,,,,,,111,,,,,,,3,964,39,79766,,,,,,,340,,,,,,,,,208,,,,,,,,16,0,,,11405,,1926,,,,,252,2739,,,,,,,,,,,,,,,,,4452,688,3654,,,,,91,,,,,49394,
"AIA",,,,,,,,17,,,,,,,,,,,,,,,,,,299,,,,,,19,,,,,,43,,,,,9,,,,23,,,,,,,,,,,,,,,9,58,,,,,,,,,,,,,40,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,9,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,,,534,,,,,,,,,,
"ATG",,,,,,,,,,,,15,0,,5,,,84,,,,,,,0,485,,,,260,,3,,,,,,1099,,,,,10,,,,9,,,,,,,,,,2,,,0,,189,124,,7,,,,,,,,,,,40,,,,,,,,,12,,18,,,,,,5,,,,,,,,,,2,,,5,79,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,51,,,,195,,,9,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,175,48,,32,,,,,,,,,,116,,,,,,,,,,,,5,49,,,,,,,,,,,,,,,,,1579,,10197,2128,,,,,,,,,,
"ARG",,,,,261,,,,,,,6415,597,,35,,,,37,809,,,,,16402,17,,,16308,,,40,,,2,,,7697,5,,,,25600,,,,1438,,,,354,,71,58,,31,71,,,505,,,1203,1577,135,112,,,,,,32,,,129,5303,,,,,8,4736,,,235,,,,,246,,,,228,,77,148,13,,,,,194,,16457,21085,,1366,,,,,,,,9,,,,,4,39,17,,,,,,9,,,40,,,5087,,,,,,,,,19,,,1175,,422,121,,,,,,281,,,,782,,30947,4808,324,133,561,664,,,,,3,231,,,,,,,,40,,,,17,,,,,26,171,,,616,,125841,,,,,1369,3385,,,,,,,,,,66,,,,,,,3467,,70675,,12773,,,4778,,,,,,
"ARM",,,,,,,,,437,,,528,1204,81293,,,,,3514,160,,,,,1,,,,22,,,639,,,,,,1191,,,,,7,,,,,,,,2,,,,,402,723,,,268,,,,10,57,,,,389,,,,,,18,5667,,,,,6385,5016,,,5349,,,,,,,,,,,,81,1,,,426,,34,,,287,,,18,4403,,,,1870,,632,,,,132,,501,,,,,,,10,,,,,,41,,,,,,,,,65,,,186,,,,,,,,,75,,,,,,,,60,909,47,,,,,,1,287600,,,,,,,,,,,,34,,,,,154,0,,,,,4075,,,,,365,245,,77,,,,,,,,275,3657,,,,28580,,473,,34357,,,3479,,17,,,,,,
