"i","j","fij"
"MEX","USA",11489684
"SYR","TUR",3743494
"IND","ARE",3419875
"RUS","UKR",3308515
"UKR","RUS",3269248
"BGD","IND",3103664
"CHN","USA",2899267
"IND","USA",2661470
"KAZ","RUS",2559711
"RUS","KAZ",2458414
"IND","SAU",2440489
"AFG","IRN",2310292
"CHN","HKG",2272293
"PSE","JOR",2118267
"PHL","USA",2047269
"MMR","THA",1858735
"PRI","USA",1830275
"POL","DEU",1784839
"IDN","SAU",1667077
"AFG","PAK",1589146
"IND","PAK",1588067
"DZA","FRA",1575528
"TUR","DEU",1531333
"PAK","SAU",1447071
"SLV","USA",1429155
"VNM","USA",1368746
"BFA","CIV",1367916
"CUB","USA",1337371
"IND","OMN",1325444
"GBR","AUS",1262204
"BGD","SAU",1246052
"IDN","MYS",1225156
"DOM","USA",1173662
"SYR","LBN",1162305
"UZB","RUS",1146535
"IND","KWT",1124256
"SSD","UGA",1100096
"KOR","USA",1083794
"PAK","IND",1082917
"BGD","ARE",1079013
"ROU","ITA",1074382
"GTM","USA",1070743
"VEN","COL",1048714
"MAR","FRA",1020162
"RUS","DEU",999162
"PAK","ARE",981536
"COL","VEN",953386
"MYS","SGP",952261
"KAZ","DEU",940296
"EGY","SAU",938649
"MMR","BGD",937521
"LAO","THA",934936
"IND","GBR",917686
"POL","GBR",914022
"EGY","ARE",886291
"RUS","UZB",875824
"CAN","USA",825040
"SYR","SAU",802915
"COL","USA",798294
"CHN","JPN",784763
"SSD","SDN",773512
"AZE","RUS",767159
"BLR","RUS",764120
"USA","MEX",762290
"JAM","USA",759172
"YEM","SAU",750919
"HTI","USA",737058
"SYR","JOR",724508
"GBR","USA",716260
"MOZ","ZAF",716057
"IND","CAN",712050
"MAR","ESP",711792
"IND","QAT",698088
"CHN","CAN",691489
"PRY","ARG",690948
"KHM","THA",689451
"PRT","FRA",687530
"RUS","BLR",673880
"HND","USA",655995
"BGR","TUR",652900
"CHN","AUS",641624
"PHL","SAU",628894
"PHL","CAN",626569
"ROU","ESP",622555
"CHN","KOR",620295
"PAK","GBR",605016
"VEN","PER",602595
"NZL","AUS",600404
"PSE","SYR",595847
"KGZ","RUS",591211
"SYR","DEU",589628
"ITA","DEU",578841
"NPL","MYS",578082
"SDN","SSD",576668
"IND","AUS",568971
"DEU","USA",563411
"CIV","BFA",557732
"PHL","ARE",556407
"ROU","DEU",545759
"NPL","IND",533646
"GBR","CAN",531584
"ARM","RUS",527163
"PER","USA",525527
"MLI","CIV",522146
"LKA","SAU",516256
"ECU","USA",516236
"CZE","DEU",502609
"HTI","DOM",491013
"NPL","SAU",490965
"PSE","LBN",487270
"SOM","ETH",477774
"SSD","ETH",476311
"ALB","ITA",475196
"KOR","JPN",475166
"AFG","SAU",469324
"SDN","SAU",469324
"TJK","RUS",466399
"BRA","USA",459876
"SOM","KEN",452919
"MAR","ITA",450557
"GEO","RUS",450115
"IRL","GBR",442796
"IND","NPL",429769
"TUN","FRA",427897
"POL","USA",426937
"ALB","GRC",426449
"BOL","ARG",426394
"ECU","ESP",415310
"UKR","USA",414206
"RUS","USA",411537
"EGY","KWT",410831
"BGD","MYS",410195
"TUR","USA",409480
