"i","j","fij"
"BGR","BGR",0
"MMR","BGR",0
"BDI","BGR",19
"BLR","BGR",1062
"KHM","BGR",14
"DZA","BGR",482
"CMR","BGR",21
"CAN","BGR",717
"CPV","BGR",6
"CYM","BGR",4
"CAF","BGR",0
"LKA","BGR",18
"TCD","BGR",6
"CHL","BGR",26
"CHN","BGR",1447
"ASM","BGR",0
"COL","BGR",49
"COM","BGR",0
"MYT","BGR",0
"COG","BGR",18
"COD","BGR",16
"COK","BGR",0
"CRI","BGR",8
"HRV","BGR",137
"CUB","BGR",317
"CYP","BGR",1372
"AND","BGR",0
"CZE","BGR",1514
"BEN","BGR",30
"DNK","BGR",395
"DMA","BGR",0
"DOM","BGR",57
"ECU","BGR",19
"SLV","BGR",11
"GNQ","BGR",0
"ETH","BGR",65
"ERI","BGR",3
"EST","BGR",100
"FRO","BGR",0
"FLK","BGR",0
"AGO","BGR",14
"FJI","BGR",1
"FIN","BGR",195
"FRA","BGR",2614
"GUF","BGR",0
"PYF","BGR",0
"DJI","BGR",3
"GAB","BGR",10
"GEO","BGR",510
"GMB","BGR",10
"PSE","BGR",71
"DEU","BGR",9334
"ATG","BGR",5
"GHA","BGR",26
"GIB","BGR",9
"KIR","BGR",4
"GRC","BGR",8563
"GRL","BGR",2
"GRD","BGR",0
"AZE","BGR",2103
"GLP","BGR",0
"GUM","BGR",0
"ARG","BGR",128
"GTM","BGR",4
"GIN","BGR",12
"GUY","BGR",4
"HTI","BGR",5
"VAT","BGR",0
"HND","BGR",2
"HKG","BGR",0
"HUN","BGR",415
"ISL","BGR",25
"IND","BGR",370
"AUS","BGR",287
"IDN","BGR",64
"IRN","BGR",455
"IRQ","BGR",1285
"IRL","BGR",349
"ISR","BGR",734
"ITA","BGR",3790
"CIV","BGR",16
"JAM","BGR",6
"JPN","BGR",214
"KAZ","BGR",2101
"AFG","BGR",396
"AUT","BGR",1512
"JOR","BGR",294
"KEN","BGR",24
"PRK","BGR",52
"KOR","BGR",219
"KWT","BGR",177
"KGZ","BGR",241
"LAO","BGR",1
"LBN","BGR",989
"LSO","BGR",0
"LVA","BGR",216
"LBR","BGR",6
"LBY","BGR",293
"LIE","BGR",2
"BHS","BGR",4
"LTU","BGR",162
"LUX","BGR",99
"MAC","BGR",0
"MDG","BGR",2
"MWI","BGR",0
"MYS","BGR",13
"MDV","BGR",1
"MLI","BGR",5
"MLT","BGR",119
"MTQ","BGR",0
"MRT","BGR",2
"BHR","BGR",21
"MUS","BGR",4
"MEX","BGR",90
"MCO","BGR",9
"MNG","BGR",95
"MDA","BGR",2990
"MNE","BGR",40
"BGD","BGR",606
"MSR","BGR",0
"MAR","BGR",140
"MOZ","BGR",40
"ARM","BGR",1840
"OMN","BGR",6
"NAM","BGR",8
"BRB","BGR",4
"NRU","BGR",2
"NPL","BGR",17
"NLD","BGR",1522
"CUW","BGR",0
"ABW","BGR",4
"SXM","BGR",0
"BES","BGR",0
"NCL","BGR",0
"VUT","BGR",17
"NZL","BGR",54
"NIC","BGR",40
"BEL","BGR",2199
"NER","BGR",1
"NGA","BGR",191
"NIU","BGR",0
"NOR","BGR",442
"MNP","BGR",0
"FSM","BGR",0
"MHL","BGR",1
"PLW","BGR",0
"PAK","BGR",248
"PAN","BGR",9
"PNG","BGR",3
"BMU","BGR",2
"PRY","BGR",3
"PER","BGR",30
"PHL","BGR",118
"POL","BGR",2043
"PRT","BGR",540
"GNB","BGR",4
"TLS","BGR",0
"PRI","BGR",0
"QAT","BGR",48
"REU","BGR",0
"BTN","BGR",26
"ROU","BGR",4556
"RUS","BGR",31679
"RWA","BGR",2
"SHN","BGR",0
"KNA","BGR",0
"AIA","BGR",35
"LCA","BGR",0
"SPM","BGR",0
"VCT","BGR",0
"SMR","BGR",6
"STP","BGR",0
"BOL","BGR",21
"SAU","BGR",106
"SEN","BGR",16
"SRB","BGR",2879
"SYC","BGR",0
"SLE","BGR",2
"BIH","BGR",140
"SGP","BGR",33
"SVK","BGR",413
"VNM","BGR",714
"SVN","BGR",122
"SOM","BGR",26
"ZAF","BGR",284
"ZWE","BGR",40
"BWA","BGR",27
"ESP","BGR",7098
"SSD","BGR",0
"SDN","BGR",51
"ESH","BGR",0
"SUR","BGR",2
"SWZ","BGR",2
"SWE","BGR",451
"CHE","BGR",551
"BRA","BGR",184
"SYR","BGR",14080
"TJK","BGR",175
"THA","BGR",56
"TGO","BGR",0
