id,name,pop2019
ABW,Aruba,106310
AFE,Africa Eastern and Southern,660046272
AFG,Afghanistan,38041757
AFW,Africa Western and Central,446911598
AGO,Angola,31825299
ALB,Albania,2854191
AND,Andorra,77146
ARB,Arab World,427870273
ARE,United Arab Emirates,9770526
ARG,Argentina,44938712
ARM,Armenia,2957728
ASM,American Samoa,55312
ATG,Antigua and Barbuda,97115
AUS,Australia,25365745
AUT,Austria,8879920
AZE,Azerbaijan,10024283
BDI,Burundi,11530577
BEL,Belgium,11488980
BEN,Benin,11801151
BFA,Burkina Faso,20321383
BGD,Bangladesh,163046173
BGR,Bulgaria,6975761
BHR,Bahrain,1641164
BHS,"Bahamas, The",389486
BIH,Bosnia and Herzegovina,3300998
BLR,Belarus,9417849
BLZ,Belize,390351
BMU,Bermuda,63913
BOL,Bolivia,11513102
BRA,Brazil,211049519
BRB,Barbados,287021
BRN,Brunei Darussalam,433296
BTN,Bhutan,763094
BWA,Botswana,2303703
CAF,Central African Republic,4745179
CAN,Canada,37593384
CEB,Central Europe and the Baltics,102398537
CHE,Switzerland,8575280
CHI,Channel Islands,172264
CHL,Chile,18952035
CHN,China,1397715000
CIV,Cote d'Ivoire,25716554
CMR,Cameroon,25876387
COD,"Congo, Dem. Rep.",86790568
COG,"Congo, Rep.",5380504
COL,Colombia,50339443
COM,Comoros,850891
CPV,Cabo Verde,549936
CRI,Costa Rica,5047561
CSS,Caribbean small states,7401389
CUB,Cuba,11333484
CUW,Curacao,157441
CYM,Cayman Islands,64948
CYP,Cyprus,1198574
CZE,Czech Republic,10671870
DEU,Germany,83092962
DJI,Djibouti,973557
DMA,Dominica,71808
DNK,Denmark,5814422
DOM,Dominican Republic,10738957
DZA,Algeria,43053054
EAP,East Asia & Pacific (excluding high income),2093675075
EAR,Early-demographic dividend,3290291029
EAS,East Asia & Pacific,2340673749
ECA,Europe & Central Asia (excluding high income),418760880
ECS,Europe & Central Asia,920809471
ECU,Ecuador,17373657
EGY,"Egypt, Arab Rep.",100388076
EMU,Euro area,342282081
ERI,Eritrea,3213969
ESP,Spain,47133521
EST,Estonia,1326898
ETH,Ethiopia,112078727
EUU,European Union,447196538
FCS,Fragile and conflict affected situations,908739462
FIN,Finland,5521606
FJI,Fiji,889955
FRA,France,67248926
FRO,Faroe Islands,48677
FSM,"Micronesia, Fed. Sts.",113811
GAB,Gabon,2172578
GBR,United Kingdom,66836327
GEO,Georgia,3720161
GHA,Ghana,30417858
GIB,Gibraltar,33706
GIN,Guinea,12771246
GMB,"Gambia, The",2347696
GNB,Guinea-Bissau,1920917
GNQ,Equatorial Guinea,1355982
GRC,Greece,10721582
GRD,Grenada,112002
GRL,Greenland,56225
GTM,Guatemala,16604026
GUM,Guam,167295
GUY,Guyana,782775
HIC,High income,1210795776
HKG,"Hong Kong SAR, China",7507400
HND,Honduras,9746115
HPC,Heavily indebted poor countries (HIPC),801708019
HRV,Croatia,4065253
HTI,Haiti,11263079
HUN,Hungary,9771141
IBD,IBRD only,4816232592
IBT,IDA & IBRD total,6486925157
IDA,IDA total,1670692565
IDB,IDA blend,561571929
IDN,Indonesia,270625567
IDX,IDA only,1109120636
IMN,Isle of Man,84589
IND,India,1366417756
INX,Not classified,
IRL,Ireland,4934340
IRN,"Iran, Islamic Rep.",82913893
IRQ,Iraq,39309789
ISL,Iceland,360563
ISR,Israel,9054000
ITA,Italy,59729081
JAM,Jamaica,2948277
JOR,Jordan,10101697
JPN,Japan,126264931
KAZ,Kazakhstan,18513673
KEN,Kenya,52573967
KGZ,Kyrgyz Republic,6456200
KHM,Cambodia,16486542
KIR,Kiribati,117608
KNA,St. Kitts and Nevis,52834
KOR,"Korea, Rep.",51709098
KWT,Kuwait,4207077
LAC,Latin America & Caribbean (excluding high income),589503742
LAO,Lao PDR,7169456
LBN,Lebanon,6855709
LBR,Liberia,4937374
LBY,Libya,6777453
LCA,St. Lucia,182795
LCN,Latin America & Caribbean,646430786
LDC,Least developed countries: UN classification,1033388868
LIC,Low income,647870823
LIE,Liechtenstein,38020
LKA,Sri Lanka,21803000
LMC,Lower middle income,3285416867
LMY,Low & middle income,6434033786
LSO,Lesotho,2125267
LTE,Late-demographic dividend,2298495924
LTU,Lithuania,2794137
LUX,Luxembourg,620001
LVA,Latvia,1913822
MAC,"Macao SAR, China",640446
MAF,St. Martin (French part),38002
MAR,Morocco,36471766
MCO,Monaco,38967
MDA,Moldova,2663251
MDG,Madagascar,26969306
MDV,Maldives,530957
MEA,Middle East & North Africa,456709496
MEX,Mexico,127575529
MHL,Marshall Islands,58791
MIC,Middle income,5786162963
MKD,North Macedonia,2083458
MLI,Mali,19658023
MLT,Malta,504062
MMR,Myanmar,54045422
MNA,Middle East & North Africa (excluding high income),389457075
MNE,Montenegro,622028
MNG,Mongolia,3225166
MNP,Northern Mariana Islands,57213
MOZ,Mozambique,30366043
MRT,Mauritania,4525698
MUS,Mauritius,1265711
MWI,Malawi,18628749
MYS,Malaysia,31949789
NAC,North America,365987250
NAM,Namibia,2494524
NCL,New Caledonia,271300
NER,Niger,23310719
NGA,Nigeria,200963603
NIC,Nicaragua,6545503
NLD,Netherlands,17344874
NOR,Norway,5347896
NPL,Nepal,28608715
NRU,Nauru,10764
NZL,New Zealand,4979300
OED,OECD members,1364841892
OMN,Oman,4974992
OSS,Other small states,31361259
PAK,Pakistan,216565317
PAN,Panama,4246440
PER,Peru,32510462
PHL,Philippines,108116622
PLW,Palau,18001
PNG,Papua New Guinea,8776119
POL,Poland,37965475
PRE,Pre-demographic dividend,944902748
PRI,Puerto Rico,3193694
PRK,"Korea, Dem. People's Rep.",25666158
PRT,Portugal,10286263
PRY,Paraguay,7044639
PSE,West Bank and Gaza,4685306
PSS,Pacific island small states,2491878
PST,Post-demographic dividend,1112707633
PYF,French Polynesia,279285
QAT,Qatar,2832071
ROU,Romania,19371648
RUS,Russian Federation,144406261
RWA,Rwanda,12626938
SAS,South Asia,1835776769
SAU,Saudi Arabia,34268529
SDN,Sudan,42813237
SEN,Senegal,16296362
SGP,Singapore,5703569
SLB,Solomon Islands,669821
SLE,Sierra Leone,7813207
SLV,El Salvador,6453550
SMR,San Marino,33864
SOM,Somalia,15442906
SRB,Serbia,6945235
SSA,Sub-Saharan Africa (excluding high income),1106860245
SSD,South Sudan,11062114
SSF,Sub-Saharan Africa,1106957870
SST,Small states,41254526
STP,Sao Tome and Principe,215048
SUR,Suriname,581363
SVK,Slovak Republic,5454147
SVN,Slovenia,2088385
SWE,Sweden,10278887
SWZ,Eswatini,1148133
SXM,Sint Maarten (Dutch part),40733
SYC,Seychelles,97625
SYR,Syrian Arab Republic,17070132
TCA,Turks and Caicos Islands,38194
TCD,Chad,15946882
TEA,East Asia & Pacific (IDA & IBRD countries),2067982370
TEC,Europe & Central Asia (IDA & IBRD countries),460791608
TGO,Togo,8082359
THA,Thailand,69625581
TJK,Tajikistan,9321023
TKM,Turkmenistan,5942094
TLA,Latin America & the Caribbean (IDA & IBRD countries),630644771
TLS,Timor-Leste,1293120
TMN,Middle East & North Africa (IDA & IBRD countries),384771769
TON,Tonga,104497
TSA,South Asia (IDA & IBRD),1835776769
TSS,Sub-Saharan Africa (IDA & IBRD countries),1106957870
TTO,Trinidad and Tobago,1394969
TUN,Tunisia,11694721
TUR,Turkey,83429607
TUV,Tuvalu,11655
TZA,Tanzania,58005461
UGA,Uganda,44269587
UKR,Ukraine,44386203
UMC,Upper middle income,2500746096
URY,Uruguay,3461731
USA,United States,328329953
UZB,Uzbekistan,33580350
VCT,St. Vincent and the Grenadines,110593
VEN,"Venezuela, RB",28515829
VGB,British Virgin Islands,30033
VIR,Virgin Islands (U.S.),106669
VNM,Vietnam,96462108
VUT,Vanuatu,299882
WLD,World,7673345391
WSM,Samoa,197093
XKX,Kosovo,1788878
YEM,"Yemen, Rep.",29161922
ZAF,South Africa,58558267
ZMB,Zambia,17861034
ZWE,Zimbabwe,14645473
