"i","j","fij"
"PAK","AFG",3531
"TJK","AFG",17658
"UZB","AFG",883
"CAN","ALB",243
"GRC","ALB",22823
"ITA","ALB",5714
"MKD","ALB",377
"TUR","ALB",856
"USA","ALB",1227
"FRA","DZA",924
"DEU","DZA",2850
"IDN","DZA",191
"IRQ","DZA",563
"ITA","DZA",1376
"JOR","DZA",1050
"KWT","DZA",579
"LBN","DZA",844
"LBY","DZA",859
"MYS","DZA",581
"RUS","DZA",3959
"SAU","DZA",1115
"SOM","DZA",473
"PSE","DZA",16984
"SDN","DZA",3984
"SYR","DZA",1584
"GBR","DZA",865
"USA","DZA",2038
"ESH","DZA",75515
"YEM","DZA",1071
"CHN","ASM",29
"FJI","ASM",24
"NZL","ASM",113
"PHL","ASM",162
"KOR","ASM",95
"WSM","ASM",7049
"TKL","ASM",15
"TON","ASM",598
"USA","ASM",1638
"VNM","ASM",0
"ARG","AND",40
"AUS","AND",17
"BEL","AND",112
"CHL","AND",32
"DNK","AND",39
"FRA","AND",1923
"DEU","AND",162
"ITA","AND",51
"MAR","AND",137
"NLD","AND",88
"PHL","AND",68
"PRT","AND",1840
"ESP","AND",12605
"SWE","AND",25
"CHE","AND",30
"GBR","AND",486
"USA","AND",47
"URY","AND",36
"CPV","AGO",1649
"TCD","AGO",6
"COG","AGO",220
"CIV","AGO",2
"COD","AGO",5767
"GIN","AGO",68
"MOZ","AGO",44
"NAM","AGO",163
"PRT","AGO",1919
"RWA","AGO",24
"STP","AGO",1503
"ZAF","AGO",1154
"ZMB","AGO",69
"CAN","AIA",20
"DOM","AIA",107
"GUY","AIA",73
"JAM","AIA",92
"MSR","AIA",40
"KNA","AIA",145
"GBR","AIA",127
"USA","AIA",148
"VIR","AIA",121
"AIA","ATG",9
"ABW","ATG",4
"AUS","ATG",4
"BHS","ATG",3
"BRB","ATG",106
"BLZ","ATG",4
"BMU","ATG",5
"BES","ATG",2
"VGB","ATG",34
"CAN","ATG",113
"CHN","ATG",30
"CUB","ATG",6
"CUW","ATG",5
"DMA","ATG",1268
"DOM","ATG",323
"EGY","ATG",6
"ETH","ATG",1
"FRA","ATG",17
"GUF","ATG",2
"DEU","ATG",23
"GHA","ATG",5
"GRD","ATG",60
"GLP","ATG",24
"GUY","ATG",862
"HTI","ATG",6
"HND","ATG",2
"IND","ATG",17
"ITA","ATG",25
"JAM","ATG",201
"JPN","ATG",1
"LBN","ATG",24
"MTQ","ATG",3
"MEX","ATG",2
"MSR","ATG",438
"NLD","ATG",9
"NZL","ATG",2
"NGA","ATG",18
"PAK","ATG",4
"PRI","ATG",16
"KNA","ATG",244
"LCA","ATG",204
"VCT","ATG",248
"SXM","ATG",4
"ZAF","ATG",10
"ESP","ATG",3
"SUR","ATG",5
"SYR","ATG",74
"TTO","ATG",185
"TCA","ATG",2
"GBR","ATG",324
"USA","ATG",679
"VIR","ATG",153
"VEN","ATG",6
"AFG","ARG",19
"ALB","ARG",62
"DZA","ARG",93
"AND","ARG",0
"AGO","ARG",13
"ARM","ARG",639
"ABW","ARG",1
"AUS","ARG",353
"AUT","ARG",2479
"BHR","ARG",9
"BRB","ARG",16
"BLR","ARG",385
"BEL","ARG",566
"BLZ","ARG",10
"BOL","ARG",71184
"BRA","ARG",19386
"BRN","ARG",0
"BGR","ARG",402
"BFA","ARG",22
"CPV","ARG",32
"KHM","ARG",16
"CAN","ARG",436
"CHL","ARG",106262
"CHN","ARG",2119
"HKG","ARG",0
"COL","ARG",1507
"COG","ARG",44
"CRI","ARG",239
"CIV","ARG",0
"HRV","ARG",1147
"CUB","ARG",799
"CYP","ARG",58
"CZE","ARG",2537
"PRK","ARG",0
"DNK","ARG",294
"DMA","ARG",9
"DOM","ARG",138
"ECU","ARG",490
"EGY","ARG",244
"SLV","ARG",94
"EST","ARG",71
"ETH","ARG",41
"FJI","ARG",1
"FIN","ARG",112
"FRA","ARG",3484
"DEU","ARG",8332
"GIB","ARG",21
"GRC","ARG",1848
"GRL","ARG",30
"GRD","ARG",25
"GTM","ARG",23
"GIN","ARG",1
"HTI","ARG",9
"HND","ARG",73
"HUN","ARG",1818
"ISL","ARG",16
"IND","ARG",121
"IDN","ARG",34
"IRN","ARG",151
"IRQ","ARG",49
"IRL","ARG",69
"ISR","ARG",733
"ITA","ARG",172221
"JAM","ARG",0
"JPN","ARG",2897
"JOR","ARG",59
"KEN","ARG",4
"LAO","ARG",300
"LVA","ARG",181
"LBN","ARG",1616
"LBY","ARG",45
"LIE","ARG",62
"LTU","ARG",1288
"LUX","ARG",159
"MDG","ARG",14
"MYS","ARG",5
"MLT","ARG",3
"MEX","ARG",1121
"FSM","ARG",9
"MCO","ARG",22
"MAR","ARG",283
"MOZ","ARG",25
"MMR","ARG",0
"NAM","ARG",0
"NLD","ARG",424
"NZL","ARG",11
"NIC","ARG",68
"NER","ARG",0
"NGA","ARG",68
"MKD","ARG",6718
"NOR","ARG",31
"PAK","ARG",0
"PAN","ARG",134
"PRY","ARG",144462
"PER","ARG",6645
"PHL","ARG",88
"POL","ARG",15316
"PRT","ARG",6330
"PRI","ARG",104
"KOR","ARG",5170
"MDA","ARG",578
"ROU","ARG",2176
"RUS","ARG",2891
"SMR","ARG",5
"SAU","ARG",68
"SGP","ARG",4
"SVN","ARG",953
"SOM","ARG",0
"ZAF","ARG",152
"ESP","ARG",127897
"LKA","ARG",0
"SDN","ARG",0
"SUR","ARG",10
"SWE","ARG",245
"CHE","ARG",995
"SYR","ARG",2402
"THA","ARG",67
"TTO","ARG",27
"TUN","ARG",34
"TUR","ARG",1390
"TUV","ARG",4
"UGA","ARG",1
"UKR","ARG",2048
"GBR","ARG",1422
"TZA","ARG",0
"USA","ARG",4957
"URY","ARG",70241
