"i","j","fij"
"PAK","AFG",4576
"TJK","AFG",22879
"UZB","AFG",1144
"CAN","ALB",908
"GRC","ALB",17264
"ITA","ALB",5573
"MKD","ALB",301
"TUR","ALB",1633
"USA","ALB",1784
"FRA","DZA",1162
"DEU","DZA",3694
"IDN","DZA",809
"IRQ","DZA",355
"ITA","DZA",1767
"JOR","DZA",1236
"KWT","DZA",841
"LBN","DZA",720
"LBY","DZA",1123
"MYS","DZA",1070
"RUS","DZA",2328
"SAU","DZA",1953
"SOM","DZA",453
"PSE","DZA",19020
"SDN","DZA",5143
"SYR","DZA",1966
"GBR","DZA",1195
"USA","DZA",2471
"ESH","DZA",92390
"YEM","DZA",1522
"CHN","ASM",71
"FJI","ASM",26
"NZL","ASM",124
"PHL","ASM",217
"KOR","ASM",106
"WSM","ASM",7625
"TKL","ASM",15
"TON","ASM",706
"USA","ASM",1872
"VNM","ASM",1
"ARG","AND",46
"AUS","AND",19
"BEL","AND",129
"CHL","AND",36
"DNK","AND",45
"FRA","AND",2212
"DEU","AND",185
"ITA","AND",58
"MAR","AND",159
"NLD","AND",102
"PHL","AND",78
"PRT","AND",2117
"ESP","AND",14498
"SWE","AND",29
"CHE","AND",34
"GBR","AND",557
"USA","AND",53
"URY","AND",42
"CPV","AGO",1920
"TCD","AGO",6
"COG","AGO",190
"CIV","AGO",3
"COD","AGO",6411
"GIN","AGO",63
"MOZ","AGO",53
"NAM","AGO",182
"PRT","AGO",3379
"RWA","AGO",22
"STP","AGO",1609
"ZAF","AGO",1283
"ZMB","AGO",50
"CAN","AIA",8
"DOM","AIA",201
"GUY","AIA",108
"JAM","AIA",128
"MSR","AIA",95
"KNA","AIA",281
"GBR","AIA",70
"USA","AIA",67
"VIR","AIA",71
"AIA","ATG",8
"ABW","ATG",3
"AUS","ATG",3
"BHS","ATG",2
"BRB","ATG",98
"BLZ","ATG",4
"BMU","ATG",4
"BES","ATG",2
"VGB","ATG",32
"CAN","ATG",105
"CHN","ATG",27
"CUB","ATG",6
"CUW","ATG",5
"DMA","ATG",1174
"DOM","ATG",298
"EGY","ATG",6
"ETH","ATG",0
"FRA","ATG",15
"GUF","ATG",2
"DEU","ATG",22
"GHA","ATG",5
"GRD","ATG",55
"GLP","ATG",22
"GUY","ATG",798
"HTI","ATG",5
"HND","ATG",1
"IND","ATG",15
"ITA","ATG",24
"JAM","ATG",185
"JPN","ATG",1
"LBN","ATG",22
"MTQ","ATG",2
"MEX","ATG",1
"MSR","ATG",406
"NLD","ATG",8
"NZL","ATG",1
"NGA","ATG",17
"PAK","ATG",3
"PRI","ATG",14
"KNA","ATG",225
"LCA","ATG",188
"VCT","ATG",230
"SXM","ATG",4
"ZAF","ATG",9
"ESP","ATG",2
"SUR","ATG",4
"SYR","ATG",68
"TTO","ATG",171
"TCA","ATG",2
"GBR","ATG",299
"USA","ATG",629
"VIR","ATG",142
"VEN","ATG",5
"AFG","ARG",1
"ALB","ARG",86
"DZA","ARG",136
"AND","ARG",1
"AGO","ARG",7
"ARM","ARG",597
"ABW","ARG",0
"AUS","ARG",272
"AUT","ARG",1777
"BHR","ARG",19
"BRB","ARG",0
"BLR","ARG",284
"BEL","ARG",585
"BLZ","ARG",2
"BOL","ARG",76050
"BRA","ARG",14973
"BRN","ARG",2
"BGR","ARG",573
"BFA","ARG",4
"CPV","ARG",19
"KHM","ARG",30
"CAN","ARG",360
"CHL","ARG",117266
"CHN","ARG",2149
"HKG","ARG",9
"COL","ARG",1195
"COG","ARG",48
"CRI","ARG",223
"CIV","ARG",1
"HRV","ARG",1024
"CUB","ARG",628
"CYP","ARG",45
"CZE","ARG",1409
"PRK","ARG",31
"DNK","ARG",246
"DMA","ARG",0
"DOM","ARG",127
"ECU","ARG",509
"EGY","ARG",278
"SLV","ARG",88
"EST","ARG",38
"ETH","ARG",30
"FJI","ARG",0
"FIN","ARG",44
"FRA","ARG",2979
"DEU","ARG",7342
"GIB","ARG",11
"GRC","ARG",1349
"GRL","ARG",6
"GRD","ARG",0
"GTM","ARG",93
"GIN","ARG",0
"HTI","ARG",66
"HND","ARG",68
"HUN","ARG",1479
"ISL","ARG",2
"IND","ARG",94
"IDN","ARG",13
"IRN","ARG",151
"IRQ","ARG",32
"IRL","ARG",74
"ISR","ARG",733
"ITA","ARG",163819
"JAM","ARG",27
"JPN","ARG",2915
"JOR","ARG",101
