"i","j","fij"
"PAK","AFG",8107
"TJK","AFG",40537
"UZB","AFG",2027
"CAN","ALB",1151
"GRC","ALB",40087
"ITA","ALB",11287
"MKD","ALB",678
"TUR","ALB",2489
"USA","ALB",3011
"FRA","DZA",2086
"DEU","DZA",6544
"IDN","DZA",1000
"IRQ","DZA",918
"ITA","DZA",3143
"JOR","DZA",2286
"KWT","DZA",1420
"LBN","DZA",1564
"LBY","DZA",1982
"MYS","DZA",1651
"RUS","DZA",6287
"SAU","DZA",3068
"SOM","DZA",926
"PSE","DZA",36004
"SDN","DZA",9127
"SYR","DZA",3550
"GBR","DZA",2060
"USA","DZA",4509
"ESH","DZA",167905
"YEM","DZA",2593
"CHN","ASM",100
"FJI","ASM",50
"NZL","ASM",237
"PHL","ASM",379
"KOR","ASM",201
"WSM","ASM",14674
"TKL","ASM",30
"TON","ASM",1304
"USA","ASM",3510
"VNM","ASM",1
"ARG","AND",86
"AUS","AND",36
"BEL","AND",241
"CHL","AND",68
"DNK","AND",84
"FRA","AND",4135
"DEU","AND",347
"ITA","AND",109
"MAR","AND",296
"NLD","AND",190
"PHL","AND",146
"PRT","AND",3957
"ESP","AND",27103
"SWE","AND",54
"CHE","AND",64
"GBR","AND",1043
"USA","AND",100
"URY","AND",78
"CPV","AGO",3569
"TCD","AGO",12
"COG","AGO",410
"CIV","AGO",5
"COD","AGO",12178
"GIN","AGO",131
"MOZ","AGO",97
"NAM","AGO",345
"PRT","AGO",5298
"RWA","AGO",46
"STP","AGO",3112
"ZAF","AGO",2437
"ZMB","AGO",119
"CAN","AIA",28
"DOM","AIA",308
"GUY","AIA",181
"JAM","AIA",220
"MSR","AIA",135
"KNA","AIA",426
"GBR","AIA",197
"USA","AIA",215
"VIR","AIA",192
"AIA","ATG",17
"ABW","ATG",7
"AUS","ATG",7
"BHS","ATG",5
"BRB","ATG",204
"BLZ","ATG",8
"BMU","ATG",9
"BES","ATG",4
"VGB","ATG",66
"CAN","ATG",218
"CHN","ATG",57
"CUB","ATG",12
"CUW","ATG",10
"DMA","ATG",2442
"DOM","ATG",621
"EGY","ATG",12
"ETH","ATG",1
"FRA","ATG",32
"GUF","ATG",4
"DEU","ATG",45
"GHA","ATG",10
"GRD","ATG",115
"GLP","ATG",46
"GUY","ATG",1660
"HTI","ATG",11
"HND","ATG",3
"IND","ATG",32
"ITA","ATG",49
"JAM","ATG",386
"JPN","ATG",2
"LBN","ATG",46
"MTQ","ATG",5
"MEX","ATG",3
"MSR","ATG",844
"NLD","ATG",17
"NZL","ATG",3
"NGA","ATG",35
"PAK","ATG",7
"PRI","ATG",30
"KNA","ATG",469
"LCA","ATG",392
"VCT","ATG",478
"SXM","ATG",8
"ZAF","ATG",19
"ESP","ATG",5
"SUR","ATG",9
"SYR","ATG",142
"TTO","ATG",356
"TCA","ATG",4
"GBR","ATG",623
"USA","ATG",1308
"VIR","ATG",295
"VEN","ATG",11
"AFG","ARG",20
"ALB","ARG",148
"DZA","ARG",229
"AND","ARG",1
"AGO","ARG",20
"ARM","ARG",1236
"ABW","ARG",1
"AUS","ARG",625
"AUT","ARG",4256
"BHR","ARG",28
"BRB","ARG",16
"BLR","ARG",669
"BEL","ARG",1151
"BLZ","ARG",12
"BOL","ARG",147234
"BRA","ARG",34359
"BRN","ARG",2
"BGR","ARG",975
"BFA","ARG",26
"CPV","ARG",51
"KHM","ARG",46
"CAN","ARG",796
"CHL","ARG",223528
"CHN","ARG",4268
"HKG","ARG",9
"COL","ARG",2702
"COG","ARG",92
"CRI","ARG",462
"CIV","ARG",1
"HRV","ARG",2171
"CUB","ARG",1427
"CYP","ARG",103
"CZE","ARG",3946
"PRK","ARG",31
"DNK","ARG",540
"DMA","ARG",9
"DOM","ARG",265
"ECU","ARG",999
"EGY","ARG",522
"SLV","ARG",182
"EST","ARG",109
"ETH","ARG",71
"FJI","ARG",1
"FIN","ARG",156
"FRA","ARG",6463
"DEU","ARG",15674
"GIB","ARG",32
"GRC","ARG",3197
"GRL","ARG",36
"GRD","ARG",25
"GTM","ARG",116
"GIN","ARG",1
"HTI","ARG",75
"HND","ARG",141
"HUN","ARG",3297
"ISL","ARG",18
"IND","ARG",215
"IDN","ARG",47
"IRN","ARG",302
"IRQ","ARG",81
"IRL","ARG",143
"ISR","ARG",1466
"ITA","ARG",336040
"JAM","ARG",27
"JPN","ARG",5812
"JOR","ARG",160
"KEN","ARG",6
"LAO","ARG",539
"LVA","ARG",270
"LBN","ARG",3248
"LBY","ARG",113
"LIE","ARG",170
"LTU","ARG",1980
"LUX","ARG",213
"MDG","ARG",14
"MYS","ARG",6
"MLT","ARG",4
"MEX","ARG",2332
"FSM","ARG",9
"MCO","ARG",23
"MAR","ARG",466
"MOZ","ARG",25
"MMR","ARG",19
"NAM","ARG",4
"NLD","ARG",943
"NZL","ARG",24
"NIC","ARG",145
"NER","ARG",1
"NGA","ARG",93
"MKD","ARG",13164
"NOR","ARG",129
"PAK","ARG",10
"PAN","ARG",376
"PRY","ARG",257243
"PER","ARG",16366
"PHL","ARG",128
"POL","ARG",29520
"PRT","ARG",13551
"PRI","ARG",210
"KOR","ARG",10229
"MDA","ARG",1003
"ROU","ARG",3713
"RUS","ARG",5016
"SMR","ARG",37
"SAU","ARG",175
"SGP","ARG",4
"SVN","ARG",1783
"SOM","ARG",4
"ZAF","ARG",278
"ESP","ARG",229535
"LKA","ARG",6
"SDN","ARG",18
"SUR","ARG",11
"SWE","ARG",566
"CHE","ARG",2175
"SYR","ARG",4931
"THA","ARG",133
"TTO","ARG",75
"TUN","ARG",99
"TUR","ARG",2498
"TUV","ARG",8
"UGA","ARG",1
"UKR","ARG",3583
"GBR","ARG",2391
"TZA","ARG",1
"USA","ARG",9992
"URY","ARG",136906
"VUT","ARG",18
"VEN","ARG",1981
"VNM","ARG",11
"ZMB","ARG",1
"ZWE","ARG",3
"AZE","ARM",464459
"BLR","ARM",1280
"GEO","ARM",1646
"DEU","ARM",660
"GRC","ARM",5612
"IRN","ARM",9654
"KAZ","ARM",787
"LBN","ARM",1129
"RUS","ARM",62218
"SYR","ARM",3225
"TUR","ARM",1956
"TKM","ARM",820
"UKR","ARM",10066
"UZB","ARM",1150
"BES","ABW",53
"CHN","ABW",247
"COL","ABW",1849
"CUW","ABW",438
"DMA","ABW",143
"DOM","ABW",2042
"GRD","ABW",294
"GUY","ABW",107
"HTI","ABW",320
"IND","ABW",39
"JAM","ABW",162
"NLD","ABW",2096
"NIC","ABW",19
"PER","ABW",141
"PHL","ABW",217
"PRT","ABW",177
"VCT","ABW",225
"SXM","ABW",125
"SUR","ABW",721
"TUR","ABW",115
"USA","ABW",425
"VEN","ABW",1144
"AFG","AUS",2729
"ALB","AUS",984
"DZA","AUS",665
"ASM","AUS",64
"AND","AUS",333
"AGO","AUS",310
