"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";5777;26;13257;22;19034;-7480;-0,392980981401702
"2";"AFG";2146799;65;37842;3;2184641;2108957;0,965356321702284
"3";"AGO";353314;55;23522;13;376836;329792;0,875160547293783
"4";"AIA";1553;18;1820;9;3373;-267;-0,0791580195671509
"5";"ALB";517484;50;29582;6;547066;487902;0,891852171401622
"6";"AND";2772;23;25622;18;28394;-22850;-0,804747481862365
"7";"ARE";57148;49;2330960;33;2388108;-2273812;-0,952139517978249
"8";"ARG";398937;74;747225;132;1146162;-348288;-0,303873274458584
"9";"ARM";486449;58;178758;15;665207;307691;0,462549251586348
"10";"ASM";1327;7;12154;10;13481;-10827;-0,803130331577776
"11";"ATG";17087;37;10883;53;27970;6204;0,221809081158384
"12";"AUS";201968;106;2393533;212;2595501;-2191565;-0,844370701456096
"13";"AUT";228122;71;543618;193;771740;-315496;-0,408811257677456
"14";"AZE";752248;48;134079;16;886327;618169;0,697450263841675
"15";"BDI";386384;42;76823;7;463207;309561;0,668299485974953
"16";"BEL";203670;79;601431;170;805101;-397761;-0,494051056948134
"17";"BEN";280619;48;95976;10;376595;184643;0,490295941263161
"18";"BES";2533;10;20897;45;23430;-18364;-0,783781476739223
"19";"BFA";766198;37;265972;8;1032170;500226;0,484635282947576
"20";"BGD";3487433;75;521982;17;4009415;2965451;0,739621865035173
"21";"BGR";426102;64;25956;185;452058;400146;0,885165177919647
"22";"BHR";27447;43;281850;33;309297;-254403;-0,822520102037847
"23";"BHS";15115;42;23304;75;38419;-8189;-0,21314974361644
"24";"BIH";724718;46;22132;13;746850;702586;0,940732409453036
"25";"BLR";683233;56;506777;58;1190010;176456;0,148281106881455
"26";"BLZ";22263;38;20304;15;42567;1959;0,0460215660018324
"27";"BMU";7400;27;8467;35;15867;-1067;-0,0672464864183526
"28";"BOL";265906;47;54941;180;320847;210965;0,657525237885971
"29";"BRA";526416;85;333893;105;860309;192523;0,223783547539314
"30";"BRB";44122;46;8741;21;52863;35381;0,6692961050262
"31";"BRN";26984;26;54712;19;81696;-27728;-0,339404622013318
"32";"BTN";60238;24;30356;24;90594;29882;0,329845243614367
"33";"BWA";19823;30;45694;33;65517;-25871;-0,394874612695941
"34";"CAF";61509;35;35164;25;96673;26345;0,27251662822091
"35";"CAN";455504;126;2912100;200;3367604;-2456596;-0,729478881721248
"36";"CHE";236540;83;864083;179;1100623;-627543;-0,57017071240561
"37";"CHL";260273;62;131414;210;391687;128859;0,328984622925959
"38";"CHN";3537921;142;314395;20;3852316;3223526;0,836776110786343
"39";"CIV";346170;53;1220525;16;1566695;-874355;-0,558088843074115
"40";"CMR";110732;53;132869;22;243601;-22137;-0,0908740111904303
"41";"COD";584077;63;239714;7;823791;344363;0,418022289634143
"42";"COG";86503;49;169206;21;255709;-82703;-0,323426238419453
"43";"COK";9551;9;1509;10;11060;8042;0,727124773960217
"44";"COL";860797;62;55348;91;916145;805449;0,879171965136523
"45";"COM";49846;22;5562;5;55408;44284;0,799234767542593
"46";"CPV";66555;38;6079;35;72634;60476;0,83261282594928
"47";"CRI";51094;49;96627;153;147721;-45533;-0,30823647281023
"48";"CUB";554287;72;4441;36;558728;549846;0,984103177216821
"49";"CYM";590;11;10477;57;11067;-9887;-0,893376705520918
"50";"CYP";76520;44;49886;154;126406;26634;0,210702023638118
"51";"CZE";269986;58;181719;191;451705;88267;0,195408507765024
"52";"DEU";1631122;121;4592879;136;6224001;-2961757;-0,475860624058383
"53";"DJI";6515;24;48081;3;54596;-41566;-0,761337826947029
"54";"DMA";28876;49;2079;33;30955;26797;0,865675981263124
"55";"DNK";106983;72;213097;198;320080;-106114;-0,331523369157711
"56";"DOM";433598;63;225518;98;659116;208080;0,315695568003204
"57";"DZA";835923;72;104856;20;940779;731067;0,777086860994984
"58";"ECU";479094;49;77069;85;556163;402025;0,722854630746741
"59";"EGY";1245627;81;152222;132;1397849;1093405;0,782205374114085
"60";"ERI";150285;46;6783;21;157068;143502;0,913629765451906
"61";"ESH";71895;10;2133;7;74028;69762;0,942373156103096
"62";"ESP";510206;87;2138431;173;2648637;-1628225;-0,614740713808649
"63";"EST";67985;51;93967;27;161952;-25982;-0,16043025093855
"64";"ETH";283374;63;239834;10;523208;43540;0,0832173819972172
"65";"FIN";122374;63;95458;181;217832;26916;0,123563112857615
"66";"FJI";75150;41;5717;14;80867;69433;0,858607342921093
"67";"FLK";471;5;639;7;1110;-168;-0,151351351351351
"68";"FRA";833411;137;3300859;206;4134270;-2467448;-0,596827976885883
"69";"FRO";5228;10;2340;28;7568;2888;0,381606765327696
"70";"FSM";9227;13;545;12;9772;8682;0,888456815390913
"71";"GAB";20427;35;131112;34;151539;-110685;-0,730406034090234
"72";"GBR";2090132;143;2797703;205;4887835;-707571;-0,144761637821244
"73";"GEO";455465;50;30566;46;486031;424899;0,874222014645156
"74";"GHA";355242;66;150715;43;505957;204527;0,404237909545673
"75";"GIB";4754;16;3651;3;8405;1103;0,131231409875074
"76";"GIN";229267;51;89824;29;319091;139443;0,437000730199222
"77";"GLP";3767;14;38907;24;42674;-35140;-0,823452219149834
"78";"GMB";36999;40;93053;7;130052;-56054;-0,431012210500415
"79";"GNB";45454;37;9772;11;55226;35682;0,646108716908702
"80";"GNQ";33828;26;2783;6;36611;31045;0,847969189587829
"81";"GRC";450549;65;587677;212;1038226;-137128;-0,132079142691476
"82";"GRD";28903;36;2209;15;31112;26694;0,857996914373875
"83";"GRL";6090;15;4370;17;10460;1720;0,164435946462715
"84";"GTM";375448;50;26020;49;401468;349428;0,87037572110355
"85";"GUF";1619;18;40801;16;42420;-39182;-0,923668081093824
"86";"GUM";1233;10;37412;11;38645;-36179;-0,936188381420624
"87";"GUY";185751;52;5382;16;191133;180369;0,943683194424825
"88";"HKG";407716;39;1124282;29;1531998;-716566;-0,467732986596588
"89";"HND";195927;45;14351;42;210278;181576;0,863504503561951
"90";"HRV";399827;53;241782;71;641609;158045;0,246326033456513
"91";"HTI";518464;57;8457;21;526921;510007;0,967900311431884
"92";"HUN";229504;64;170938;159;400442;58566;0,146253390004046
"93";"IDN";1549624;84;146749;19;1696373;1402875;0,82698498502393
"94";"IMN";4175;5;19379;8;23554;-15204;-0,645495457247177
"95";"IND";5810580;127;3025615;36;8836195;2784965;0,315176951165066
"96";"IRL";343031;70;309910;204;652941;33121;0,0507258695655503
"97";"IRN";493413;74;1244092;7;1737505;-750679;-0,432044224333167
"98";"IRQ";792549;70;68800;22;861349;723749;0,840250583677464
"99";"ISL";14234;42;12413;161;26647;1821;0,0683378992006605
"100";"ISR";163223;68;663213;57;826436;-499990;-0,604995426143101
