"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";8134;27;18233;22;26367;-10099;-0,383016649599879
"2";"AFG";2271753;67;31874;3;2303627;2239879;0,972327117193886
"3";"AGO";332209;56;31539;13;363748;300670;0,826588737257662
"4";"AIA";1146;19;1768;9;2914;-622;-0,213452299245024
"5";"ALB";537519;53;22820;6;560339;514699;0,918549306758944
"6";"AND";4062;24;23383;18;27445;-19321;-0,703989797777373
"7";"ARE";55274;52;1767072;33;1822346;-1711798;-0,939337535243033
"8";"ARG";475235;76;954457;132;1429692;-479222;-0,335192475022592
"9";"ARM";423001;58;109564;15;532565;313437;0,588542243669787
"10";"ASM";1061;8;11177;10;12238;-10116;-0,826605654518712
"11";"ATG";22726;39;14434;53;37160;8292;0,223143164693219
"12";"AUS";250611;108;2924039;212;3174650;-2673428;-0,842117398768368
"13";"AUT";286950;73;667074;193;954024;-380124;-0,398442806470277
"14";"AZE";542735;48;146156;16;688891;396579;0,57567742937562
"15";"BDI";140526;42;109867;7;250393;30659;0,122443518788465
"16";"BEL";267409;81;728162;170;995571;-460753;-0,462802753394785
"17";"BEN";242790;48;149416;10;392206;93374;0,238073869344171
"18";"BES";6106;11;5679;45;11785;427;0,0362324989393297
"19";"BFA";632372;37;330898;8;963270;301474;0,312969364767926
"20";"BGD";2403385;76;522781;17;2926166;1880604;0,642685343210194
"21";"BGR";594432;66;41602;185;636034;552830;0,869183093985542
"22";"BHR";25067;44;173640;33;198707;-148573;-0,747698873215337
"23";"BHS";20611;43;26403;75;47014;-5792;-0,123197345471562
"24";"BIH";811445;48;19772;13;831217;791673;0,952426382039828
"25";"BLR";842337;56;590897;58;1433234;251440;0,175435413896126
"26";"BLZ";32987;39;22311;15;55298;10676;0,19306304025462
"27";"BMU";7695;27;9171;35;16866;-1476;-0,0875133404482391
"28";"BOL";411323;48;57045;180;468368;354278;0,756409489973696
"29";"BRA";872107;86;270116;158;1142223;601991;0,527034563303313
"30";"BRB";51223;48;11129;21;62352;40094;0,643026687195278
"31";"BRN";17685;26;43426;19;61111;-25741;-0,42121712948569
"32";"BTN";41949;24;8287;24;50236;33662;0,670077235448682
"33";"BWA";18675;31;37021;33;55696;-18346;-0,329395288710141
"34";"CAF";125625;37;31704;25;157329;93921;0,596971950498637
"35";"CAN";785882;128;3516910;200;4302792;-2731028;-0,634710671582545
"36";"CHE";335659;85;1003513;179;1339172;-667854;-0,498706663520444
"37";"CHL";300053;64;197277;210;497330;102776;0,206655540586733
"38";"CHN";4627382;143;279955;20;4907337;4347427;0,885903495113541
"39";"CIV";476231;54;1025743;16;1501974;-549512;-0,365859861755263
"40";"CMR";142775;54;126208;22;268983;16567;0,0615912529788128
"41";"COD";649922;66;223470;7;873392;426452;0,488271016908788
"42";"COG";88021;50;187785;21;275806;-99764;-0,3617180191874
"43";"COK";10493;9;1573;10;12066;8920;0,739267362837726
"44";"COL";1362586;64;58356;91;1420942;1304230;0,917862938811014
"45";"COM";54900;22;5894;5;60794;49006;0,806099286113761
"46";"CPV";82700;38;6339;35;89039;76361;0,857612956120352
"47";"CRI";76029;50;202677;153;278706;-126648;-0,454414329077953
"48";"CUB";696026;74;3207;36;699233;692819;0,990827091970774
"49";"CUW";56930;15;20174;43;77104;36756;0,476706785640174
"50";"CYM";738;11;11712;57;12450;-10974;-0,88144578313253
"51";"CYP";81795;45;107178;154;188973;-25383;-0,134320775983871
"52";"CZE";444957;60;162333;191;607290;282624;0,465385565380625
"53";"DEU";1992779;123;4918981;136;6911760;-2926202;-0,423365683993657
"54";"DJI";6638;24;45585;3;52223;-38947;-0,745782509622197
"55";"DMA";42345;50;3143;33;45488;39202;0,861809708054872
"56";"DNK";122623;73;258743;198;381366;-136120;-0,356927466003786
"57";"DOM";688333;65;151470;98;839803;536863;0,639272543679887
"58";"DZA";741835;73;98593;20;840428;643242;0,765374309280509
"59";"ECU";596243;50;134861;85;731104;461382;0,63107574298595
"60";"EGY";845946;84;132360;132;978306;713586;0,729409816560463
"61";"ERI";152421;47;5998;21;158419;146423;0,924276759732103
"62";"ESH";67847;10;1809;7;69656;66038;0,948059032961985
"63";"ESP";597058;89;3040897;173;3637955;-2443839;-0,671761745266228
"64";"EST";89665;51;130212;147;219877;-40547;-0,184407646093043
"65";"ETH";305205;65;257374;10;562579;47831;0,0850209481690571
"66";"FIN";175562;63;112170;181;287732;63392;0,220316127507542
"67";"FJI";95742;41;5411;14;101153;90331;0,893013553725544
"68";"FLK";654;5;604;7;1258;50;0,0397456279809221
"69";"FRA";1013973;138;3755459;206;4769432;-2741486;-0,574803456679957
"70";"FRO";7393;11;2274;30;9667;5119;0,529533464363298
"71";"FSM";9694;13;440;12;10134;9254;0,913163607657391
"72";"GAB";18924;35;109719;34;128643;-90795;-0,705790443319885
"73";"GBR";2213254;145;3645518;205;5858772;-1432264;-0,244464881036504
"74";"GEO";403822;50;39321;46;443143;364501;0,822535840575164
"75";"GHA";357581;67;129716;43;487297;227865;0,467610102257966
"76";"GIB";5065;17;4118;3;9183;947;0,103125340302733
"77";"GIN";200088;51;67495;29;267583;132593;0,495521015909082
"78";"GLP";6398;16;49297;24;55695;-42899;-0,770248675823683
"79";"GMB";29751;40;85529;7;115280;-55778;-0,483848022206801
"80";"GNB";42558;38;10412;11;52970;32146;0,606871814234472
"81";"GNQ";44284;27;3296;6;47580;40988;0,861454392601934
"82";"GRC";382386;67;680418;212;1062804;-298032;-0,280420472636535
"83";"GRD";36073;38;2455;15;38528;33618;0,872560215946844
"84";"GRL";9213;15;1884;17;11097;7329;0,660448769937821
"85";"GTM";461459;51;35439;49;496898;426020;0,857359055580823
"86";"GUF";2272;18;47735;16;50007;-45463;-0,909132721419001
"87";"GUM";1209;10;35294;11;36503;-34085;-0,933758869134044
"88";"GUY";235187;54;5671;16;240858;229516;0,952910013368873
"89";"HKG";455810;41;1612911;29;2068721;-1157101;-0,559331587004724
"90";"HND";337735;46;12939;42;350674;324796;0,926204965295403
"91";"HRV";437790;56;295204;71;732994;142586;0,194525466784176
"92";"HTI";535852;58;7034;21;542886;528818;0,974086640657523
"93";"HUN";264915;65;221179;159;486094;43736;0,0899743670977218
"94";"IDN";1521921;87;117017;19;1638938;1404904;0,857203872263624
"95";"IMN";4497;6;20898;8;25395;-16401;-0,645835794447726
"96";"IND";4723181;129;2638969;36;7362150;2084212;0,283098279714486
"97";"IRL";401869;71;370102;204;771971;31767;0,0411505095398661
"98";"IRN";457188;75;1087102;7;1544290;-629914;-0,40789877548906
"99";"IRQ";1228598;71;31645;22;1260243;1196953;0,949779526646845
"100";"ISL";16629;43;17472;161;34101;-843;-0,0247206826779273
"101";"ISR";162859;70;738325;57;901184;-575466;-0,638566596832611
"102";"ITA";1230383;110;3104085;191;4334468;-1873702;-0,432279578485756
"103";"JAM";562582;64;10444;21;573026;552138;0,963547901840405
"104";"JEY";7954;5;39056;4;47010;-31102;-0,661603914060838
"105";"JOR";212446;67;1335959;83;1548405;-1123513;-0,725593756155528
"106";"JPN";405563;104;1123348;42;1528911;-717785;-0,469474678382195
"107";"KAZ";2023160;58;1586489;18;3609649;436671;0,120973258064704
"108";"KEN";226171;62;452065;13;678236;-225894;-0,333061058392654
"109";"KGZ";373909;44;134647;23;508556;239262;0,470473261548384
"110";"KHM";502746;44;37195;26;539941;465551;0,862225687621425
"111";"KIR";1820;18;1146;7;2966;674;0,227242076871207
"112";"KNA";19697;36;1678;13;21375;18019;0,842994152046784
