"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";14479;27;32790;22;47269;-18311;-0,387378620237365
"2";"AFG";5055805;67;73174;3;5128979;4982631;0,971466445855988
"3";"AGO";660056;56;59665;13;719721;600391;0,834199641249873
"4";"AIA";2366;19;3756;9;6122;-1390;-0,227049983665469
"5";"ALB";1120305;53;46939;6;1167244;1073366;0,919572942760897
"6";"AND";7926;24;49544;18;57470;-41618;-0,724169131720898
"7";"ARE";121176;52;7094266;33;7215442;-6973090;-0,966412036850965
"8";"ARG";938087;76;1767689;132;2705776;-829602;-0,30660409435223
"9";"ARM";917350;58;184328;15;1101678;733022;0,665368646737068
"10";"ASM";2159;8;22991;10;25150;-20832;-0,82831013916501
"11";"ATG";41431;39;26040;53;67471;15391;0,228112818840687
"12";"AUS";487844;108;5816260;212;6304104;-5328416;-0,845229710677362
"13";"AUT";520152;73;1275992;193;1796144;-755840;-0,42081258518248
"14";"AZE";1164567;48;274411;16;1438978;890156;0,618602925131586
"15";"BDI";284587;42;215702;7;500289;68885;0,137690414940165
"16";"BEL";487203;81;1416421;170;1903624;-929218;-0,488131059494942
"17";"BEN";540832;48;276506;10;817338;264326;0,323398642911501
"18";"BES";11379;11;10923;45;22302;456;0,0204465967177832
"19";"BFA";1434192;37;629595;8;2063787;804597;0,389864361002371
"20";"BGD";6750115;76;1100737;17;7850852;5649378;0,719587886766939
"21";"BGR";1106684;66;74877;185;1181561;1031807;0,873257495804279
"22";"BHR";53125;44;638094;33;691219;-584969;-0,846286054058121
"23";"BHS";36004;43;53806;75;89810;-17802;-0,198218461195858
"24";"BIH";1569275;48;37841;13;1607116;1531434;0,952908190821322
"25";"BLR";1465141;56;1090088;58;2555229;375053;0,146778625320862
"26";"BLZ";57331;39;45197;15;102528;12134;0,11834815855181
"27";"BMU";15281;27;17857;35;33138;-2576;-0,0777355302070131
"28";"BOL";780095;48;119859;180;899954;660236;0,733633052356009
"29";"BRA";1518343;86;586712;158;2105055;931631;0,442568483958851
"30";"BRB";96348;48;19424;21;115772;76924;0,6644439069896
"31";"BRN";43871;26;99582;19;143453;-55711;-0,388357162276146
"32";"BTN";86154;24;44708;24;130862;41446;0,316715318427045
"33";"BWA";46832;31;88560;33;135392;-41728;-0,308201370834318
"34";"CAF";245925;37;66524;25;312449;179401;0,574176905671006
"35";"CAN";1272338;128;6751310;200;8023648;-5478972;-0,682852986571694
"36";"CHE";627301;85;1940105;179;2567406;-1312804;-0,511334786940593
"37";"CHL";570644;64;375388;210;946032;195256;0,206394709692695
"38";"CHN";8733242;143;707128;20;9440370;8026114;0,850190617528762
"39";"CIV";940012;54;2300514;16;3240526;-1360502;-0,419839865503316
"40";"CMR";279448;54;281325;22;560773;-1877;-0,0033471654305753
"41";"COD";1282572;66;428440;7;1711012;854132;0,499196966473642
"42";"COG";181070;50;411152;21;592222;-230082;-0,388506337150596
"43";"COK";20559;9;3100;10;23659;17459;0,737943277399721
"44";"COL";2526525;64;123584;91;2650109;2402941;0,906732892873463
"45";"COM";109067;22;11255;5;120322;97812;0,812918668240222
"46";"CPV";152877;38;12921;35;165798;139956;0,844135634929251
"47";"CRI";133027;50;391708;153;524735;-258681;-0,492974549058096
"48";"CUB";1313321;74;5660;36;1318981;1307661;0,991417617084704
"49";"CUW";109367;15;34108;43;143475;75259;0,524544345704827
"50";"CYM";1391;11;23985;57;25376;-22594;-0,890368852459016
"51";"CYP";163956;45;190221;154;354177;-26265;-0,0741578363360692
"52";"CZE";782250;60;398493;191;1180743;383757;0,325013148500563
"53";"DEU";3727333;123;9711392;136;13438725;-5984059;-0,445284727531816
"54";"DJI";13832;24;95499;3;109331;-81667;-0,746970209730086
"55";"DMA";73693;50;6539;33;80232;67154;0,836997706650713
"56";"DNK";234437;73;500772;198;735209;-266335;-0,362257534932244
"57";"DOM";1185546;65;385696;98;1571242;799850;0,509055893363339
"58";"DZA";1656453;73;209723;20;1866176;1446730;0,775237705339689
"59";"ECU";1152628;50;276341;85;1428969;876287;0,613230238024758
"60";"EGY";2611870;84;303475;132;2915345;2308395;0,791808516659263
"61";"ERI";320659;47;13487;21;334146;307172;0,919274808018052
"62";"ESH";143996;10;4312;7;148308;139684;0,941850743048251
"63";"ESP";1086552;89;6278025;173;7364577;-5191473;-0,704924804235192
"64";"EST";160489;51;217814;147;378303;-57325;-0,151531973048059
"65";"ETH";664819;65;543344;10;1208163;121475;0,100545207889995
"66";"FIN";290411;63;225726;181;516137;64685;0,12532525279141
