i,Oi,count_Oi,Dj,count_Dj,Vol,Bal,Asy
ABW,19642,"27",34886,"22",54528,-15244,-0.27956279342723
AFG,5120959,"68",111353,"3",5232312,5009606,0.95743640669746
AGO,661602,"57",157936,"13",819538,503666,0.614573088740241
AIA,2707,"19",4170,"9",6877,-1463,-0.212738112549077
ALB,1207092,"54",43711,"6",1250803,1163381,0.930107299071077
AND,9114,"25",42440,"18",51554,-33326,-0.646428987081507
ARE,162747,"52",8326184,"33",8488931,-8163437,-0.961656656179677
ARG,1013489,"77",2167954,"132",3181443,-1154465,-0.362874645247455
ARM,964864,"59",170364,"15",1135228,794500,0.699859411501478
ASM,1817,"8",22965,"10",24782,-21148,-0.853361310628682
ATG,55098,"40",28772,"53",83870,26326,0.313890544890903
AUS,577338,"109",7451863,"212",8029201,-6874525,-0.856190422932493
AUT,576011,"74",1779857,"193",2355868,-1203846,-0.510998918445346
AZE,1155867,"49",251453,"16",1407320,904414,0.642649859307052
BDI,624032,"43",291284,"7",915316,332748,0.363533468222996
BEL,581813,"81",1866794,"170",2448607,-1284981,-0.524780415967119
BEN,666367,"48",348583,"10",1014950,317784,0.313103108527514
BES,12779,"11",14761,"45",27540,-1982,-0.0719680464778504
BFA,1581090,"37",670546,"8",2251636,910544,0.404392184171864
BGD,7835380,"77",1850149,"17",9685529,5985231,0.617956024910978
BGR,1541931,"67",165937,"185",1707868,1375994,0.805679361636848
BHR,60163,"45",732974,"33",793137,-672811,-0.848291026644829
BHS,46473,"44",61850,"75",108323,-15377,-0.141955078792131
BIH,1653196,"49",34853,"13",1688049,1618343,0.958706174998475
BLR,1480838,"56",1069089,"58",2549927,411749,0.161474818690888
BLZ,68151,"40",58477,"15",126628,9674,0.0763970054016489
BMU,18057,"27",18267,"35",36324,-210,-0.00578130161876445
BOL,878228,"49",152255,"180",1030483,725973,0.704497793753026
BRA,1745454,"86",787722,"158",2533176,957732,0.378075585746904
BRB,112980,"49",20583,"21",133563,92397,0.691785898789335
BRN,46994,"26",109525,"19",156519,-62531,-0.399510602546656
BTN,49233,"25",49177,"24",98410,56,0.000569047860989737
BWA,86504,"32",103487,"33",189991,-16983,-0.0893884447158023
CAF,767889,"39",64519,"25",832408,703370,0.844982268310732
CAN,1323087,"128",7956487,"201",9279574,-6633400,-0.714838849283383
CHE,699650,"86",2408222,"179",3107872,-1708572,-0.549756231916887
CHL,650255,"65",939992,"210",1590247,-289737,-0.182196224863182
CHN,10734807,"143",857732,"20",11592539,9877075,0.85201999320425
CIV,1114047,"54",2477985,"16",3592032,-1363938,-0.379712096106048
CMR,383102,"55",491964,"22",875066,-108862,-0.124404330644774
COD,1684715,"67",929883,"8",2614598,754832,0.288699065783727
COG,239407,"51",393433,"21",632840,-154026,-0.243388534226661
COK,22488,"9",2863,"10",25351,19625,0.774131197980356
COL,2869305,"65",1140328,"91",4009633,1728977,0.431205798635436
COM,120298,"23",11156,"5",131454,109142,0.830267622133978
CPV,186372,"38",14068,"35",200440,172304,0.859628816603472
CRI,150415,"51",403575,"153",553990,-253160,-0.456975757685157
CUB,1654754,"74",4131,"36",1658885,1650623,0.995019546261495
CUW,81171,"15",40249,"43",121420,40922,0.337028496129139
CYM,1974,"11",28868,"57",30842,-26894,-0.871992737176577
CYP,214664,"45",189224,"154",403888,25440,0.0629877589826883
CZE,911469,"60",512705,"191",1424174,398764,0.279996685798224
DEU,4014770,"124",13020724,"136",17035494,-9005954,-0.528658223823741
DJI,18677,"25",108440,"3",127117,-89763,-0.706144732805211
DMA,78644,"51",6616,"33",85260,72028,0.844804128547971
DNK,255665,"74",722878,"198",978543,-467213,-0.47745781227805
DOM,1558710,"66",558901,"98",2117611,999809,0.472140067273923
DZA,1945035,"74",240740,"20",2185775,1704295,0.77972115153664
ECU,1183744,"51",311304,"85",1495048,872440,0.583553170199218
EGY,3547877,"85",479078,"133",4026955,3068799,0.762064388601313
ERI,751539,"48",13843,"21",765382,737696,0.963827213077914
