i,j,Fij,Fji,FSij,FBij,FAij,minFij,maxFij,rangeFij,FDij
ABW,ABW,0,0,0,0,0,0,0,0,0
ABW,AFG,0,0,0,0,0,0,0,0,0
ABW,AGO,0,0,0,0,0,0,0,0,0
ABW,AIA,0,0,0,0,0,0,0,0,0
ABW,ALB,0,0,0,0,0,0,0,0,0
ABW,AND,0,0,0,0,0,0,0,0,0
ABW,ARE,0,0,0,0,0,0,0,0,0
ABW,ARG,1,0,1,-1,-1,0,1,1,1
ABW,ARM,0,0,0,0,0,0,0,0,0
ABW,ASM,0,0,0,0,0,0,0,0,0
ABW,ATG,5,0,5,-5,-1,0,5,5,1
ABW,AUS,74,0,74,-74,-1,0,74,74,1
ABW,AUT,0,0,0,0,0,0,0,0,0
ABW,AZE,0,0,0,0,0,0,0,0,0
ABW,BDI,0,0,0,0,0,0,0,0,0
ABW,BEL,0,0,0,0,0,0,0,0,0
ABW,BEN,0,0,0,0,0,0,0,0,0
ABW,BES,899,300,1199,-599,-0.499582985821518,300,899,599,0.499582985821518
ABW,BFA,0,0,0,0,0,0,0,0,0
ABW,BGD,0,0,0,0,0,0,0,0,0
ABW,BGR,4,0,4,-4,-1,0,4,4,1
ABW,BHR,0,0,0,0,0,0,0,0,0
ABW,BHS,0,0,0,0,0,0,0,0,0
ABW,BIH,0,0,0,0,0,0,0,0,0
ABW,BLR,0,0,0,0,0,0,0,0,0
ABW,BLZ,0,0,0,0,0,0,0,0,0
ABW,BMU,0,0,0,0,0,0,0,0,0
ABW,BOL,2,0,2,-2,-1,0,2,2,1
ABW,BRA,0,0,0,0,0,0,0,0,0
ABW,BRB,0,0,0,0,0,0,0,0,0
ABW,BRN,0,0,0,0,0,0,0,0,0
ABW,BTN,0,0,0,0,0,0,0,0,0
ABW,BWA,0,0,0,0,0,0,0,0,0
ABW,CAF,0,0,0,0,0,0,0,0,0
ABW,CAN,611,0,611,-611,-1,0,611,611,1
ABW,CHE,0,0,0,0,0,0,0,0,0
ABW,CHL,16,0,16,-16,-1,0,16,16,1
ABW,CHN,0,1140,1140,1140,1,0,1140,1140,1
ABW,CIV,0,0,0,0,0,0,0,0,0
