adm0_a3_is,label,Code1,X,Y
BGR,Bulgaria,917,-2207240.76218185,-4778628.7045766
MMR,Myanmar,1832,5565086.05940488,-5279723.8179788
BDI,Burundi,947,-3568294.69408052,-9740515.18785865
BLR,Belarus,917,-1523916.39054751,-3772296.97074457
KHM,Cambodia,1832,7030960.24388807,-4941741.03454304
DZA,Algeria,1833,-5073152.2054366,-4673556.94841145
CMR,Cameroon,947,-5680742.77576564,-7459989.3442852
CAN,Canada,918,-1823622.56902991,2718449.37629767
CPV,Cabo Verde,947,-7905909.03562101,-2283274.99787579
CYM,Cayman Islands,1830,-5910981.38170363,5186881.02436077
CAF,Central African Republic,947,-4571947.8650137,-8058765.83703793
LKA,Sri Lanka,921,4677273.48495936,-7876033.09738493
TCD,Chad,947,-4333950.33493659,-7102070.87274606
CHL,Chile,1830,-12162677.51701,7473420.93389424
CHN,China,1832,4736424.35508718,-3512142.20819873
ASM,American Samoa,909,7561022.96175502,8776448.69880613
COL,Colombia,1830,-8024578.52036069,5218941.76098325
COM,Comoros,947,-1307381.36822442,-11226143.9147045
MYT,Mayotte,947,-965396.114530198,-11380963.4819447
COG,Congo,947,-5768435.47495532,-8287020.51740459
COD,Democratic Republic of the Congo,947,-4579544.0562544,-9247035.08559588
COK,Cook Islands,909,6135789.78797749,10717337.2296523
CRI,Costa Rica,1830,-6378127.54384696,6203209.79320578
HRV,Croatia,917,-2766456.50654095,-4165932.44372716
CUB,Cuba,1830,-5917080.45977334,4776661.49866621
CYP,Cyprus,1833,-1772907.08978912,-5861555.12941402
AND,Andorra,917,-3962155.14834753,-3510383.69666488
CZE,Czechia,917,-2555517.55095395,-3692320.30799793
BEN,Benin,947,-6608816.3293473,-6018244.83221081
DNK,Denmark,917,-2438417.61141448,-2904312.84214718
DMA,Dominica,1830,-7727111.79864011,3023137.7503284
DOM,Dominican Republic,1830,-6816381.56367868,4016422.25545713
ECU,Ecuador,1830,-7932449.05234158,6340549.16296982
SLV,El Salvador,1830,-5578320.78422146,6389930.78209427
GNQ,Equatorial Guinea,947,-6259953.72430672,-7561039.59845299
ETH,Ethiopia,947,-1626229.69544604,-8897713.13012993
ERI,Eritrea,947,-1603199.49777736,-8145194.49891883
EST,Estonia,917,-1445697.31531302,-3183147.16916582
FRO,Faroe Islands,917,-2600124.35866383,-1692485.93401804
FLK,Falkland Islands (Malvinas),1830,-14857588.3397572,5182469.50586433
AGO,Angola,947,-6093372.1574543,-9584399.74029744
FJI,Fiji,909,9339151.62385785,7414004.94750583
FIN,Finland,917,-1160482.36576374,-2630551.89805417
FRA,France,917,-3571867.95112761,-3281137.84440949
GUF,French Guiana,1830,-9313498.02568565,2192756.59358962
PYF,French Polynesia,909,3984605.08705628,11267296.9157798
DJI,Djibouti,947,-1127131.63674404,-8629054.73086188
GAB,Gabon,947,-6227780.21382728,-7907790.13024014
GEO,Georgia,1833,-601674.674982764,-5295807.86618384
GMB,Gambia,947,-7747237.08034538,-3531747.79745859
PSE,State of Palestine,1833,-1652811.90289008,-6255294.78999746
DEU,Germany,917,-2772587.45188955,-3346423.03217378
ATG,Antigua and Barbuda,1830,-7533452.37795003,3012810.23215663
GHA,Ghana,947,-7112882.3288274,-5715445.10130615
GIB,Gibraltar,917,-4937128.84202206,-3412623.69939763
KIR,Kiribati,909,4502021.77273399,8709034.84722517
GRC,Greece,917,-2585634.10157895,-5045778.49953481
GRL,Greenland,918,-1895430.88714082,60872.8209954528
GRD,Grenada,1830,-8049496.42725023,3197842.22000195
AZE,Azerbaijan,1833,-236638.065091913,-5534815.65585928
GLP,Guadeloupe,1830,-7631217.38871182,3017950.24156009
GUM,Guam,909,8490471.00823409,702091.7687723
ARG,Argentina,1830,-12583513.0335543,5990652.38240449
GTM,Guatemala,1830,-5272406.30164852,6367014.08214594
GIN,Guinea,947,-7730121.48277613,-4298632.10117087
GUY,Guyana,1830,-8960275.2953047,3078901.17160855
HTI,Haiti,1830,-6657013.78047685,4269831.64898468
VAT,Holy See,917,-3268558.68335275,-4249626.76266996
HND,Honduras,1830,-5742319.19159465,6077069.39815463
HKG,"China, Hong Kong SAR",1832,6767976.89404266,-3274214.06267133
HUN,Hungary,917,-2433023.17262933,-4110297.96259176
ISL,Iceland,917,-2598203.03130741,-1017536.54858542
IND,India,921,3683043.61610855,-6511875.54884667
AUS,Australia,909,12617748.6298428,-1174371.83631222
IDN,Indonesia,1832,9234505.9155504,-3820464.35466631
IRN,Iran (Islamic Republic of),921,505365.877177083,-6378327.62837552
IRQ,Iraq,1833,-687435.181212775,-6310805.8674343
IRL,Ireland,917,-3488647.0682188,-2169483.44691636
ISR,Israel,1833,-1687201.98476697,-6298654.55393362
ITA,Italy,917,-3227460.85036043,-4168264.76912475
CIV,Côte d'Ivoire,947,-7554074.29156499,-5178562.29329666
JAM,Jamaica,1830,-6356841.00681979,4845322.44119443
JPN,Japan,1832,5836630.6362067,-234869.702692916
KAZ,Kazakhstan,921,1371006.51781088,-4419342.98183173
AFG,Afghanistan,921,1712233.47298468,-6017814.40539795
AUT,Austria,917,-2772741.35810205,-3830472.53182182
JOR,Jordan,1833,-1500417.01057657,-6370711.96603302
KEN,Kenya,947,-2097323.4769818,-9711976.19930728
PRK,Dem. People's Republic of Korea,1832,5417496.64814834,-1235243.63842961
KOR,Republic of Korea,1832,5836963.67555589,-1257972.03566898
KWT,Kuwait,1833,-287898.012839127,-6751219.09044044
KGZ,Kyrgyzstan,921,2241665.33511263,-4920550.97396543
LAO,Lao People's Democratic Republic,1832,6422567.00047903,-4696466.21235628
LBN,Lebanon,1833,-1523258.29585458,-6056615.65943784
LSO,Lesotho,947,-4923687.85181689,-12328083.5739901
LVA,Latvia,917,-1566253.33424933,-3348989.97421114
LBR,Liberia,947,-7987315.65663866,-4740508.30413121
LBY,Libya,1833,-3700325.76010466,-5949204.6926461
LIE,Liechtenstein,917,-3102503.98194935,-3636656.36084095
BHS,Bahamas,1830,-5897255.77570565,4412394.14168673
LTU,Lithuania,917,-1703067.95473388,-3473505.54604713
LUX,Luxembourg,917,-3112459.70124169,-3233131.07548113
MAC,"China, Macao SAR",1832,6750449.20351805,-3365645.8181526
MDG,Madagascar,947,-710722.001988405,-12129284.3529178
MWI,Malawi,947,-3103539.36148717,-11038450.3610636
MYS,Malaysia,1832,8226598.13456928,-4805721.34725967
MDV,Maldives,921,3803679.08171676,-8746299.65927679
MLI,Mali,947,-6512290.42733787,-4787981.39259626
MLT,Malta,917,-3505393.63300155,-4906116.19858076
MTQ,Martinique,1830,-7823028.65672683,3007136.63169818
MRT,Mauritania,947,-6751590.94790206,-3836606.28007872
BHR,Bahrain,1833,66500.7885781146,-7120113.86458157
MUS,Mauritius,947,1612004.61122633,-12138815.3746523
MEX,Mexico,1830,-3464835.31526071,6470154.18495792
MCO,Monaco,917,-3489160.36255022,-3795800.23779262
MNG,Mongolia,1832,3832066.5646167,-2873219.18538594
MDA,Republic of Moldova,917,-1753022.33583715,-4438417.1474214
MNE,Montenegro,917,-2691550.8985562,-4520406.58324802
BGD,Bangladesh,921,4756483.30537401,-5619760.52798724
MSR,Montserrat,1830,-7549213.22965653,3078612.16775629
MAR,Morocco,1833,-5744270.70480565,-3462288.96900133
MOZ,Mozambique,947,-3000183.80654122,-11533421.2214733
ARM,Armenia,1833,-487312.879900607,-5518855.38710561
OMN,Oman,1833,810472.136530515,-7683092.45866503
NAM,Namibia,947,-6739617.67098518,-10468950.0780506
BRB,Barbados,1830,-8052916.10054455,2857529.02633679
NRU,Nauru,909,8968736.16907165,4555899.32268318
NPL,Nepal,921,3839218.9703698,-5699775.44242944
NLD,Netherlands,917,-2943568.89563116,-3006847.65132613
CUW,Curaçao,1830,-7573460.6182041,4189827.8839915
ABW,Aruba,1830,-7465852.57630566,4306226.09483239
SXM,Sint Maarten (Dutch part),1830,-7365947.39181899,3134615.37685422
BES,"Bonaire, Sint Eustatius and Saba",1830,-7617486.42270236,4099029.18396293
NCL,New Caledonia,909,11153025.2108977,5327312.15863249
VUT,Vanuatu,909,10459286.3115603,5453317.21543828
NZL,New Zealand,909,12320922.7975236,7863670.42880044
NIC,Nicaragua,1830,-6065390.88595153,6070576.88131859
BEL,Belgium,917,-3122811.09188872,-3085728.01344774
NER,Niger,947,-5267338.85343616,-6112853.83557197
NGA,Nigeria,947,-5975721.56766192,-6646479.00671543
NIU,Niue,909,7763327.65141915,9294689.85229922
NOR,Norway,917,-1613085.11396295,-2107709.49002928
MNP,Northern Mariana Islands,909,8283164.46870943,831137.291435402
FSM,Micronesia (Fed. States of),909,8777328.44509364,2891053.75898342
MHL,Marshall Islands,909,7887267.58383375,4768022.67616794
PLW,Palau,909,9129887.92377534,-865768.015978226
PAK,Pakistan,921,2186523.84266206,-6328033.72606804
PAN,Panama,1830,-6928152.95068007,5832731.94095003
PNG,Papua New Guinea,909,10659157.0180548,954173.928758967
BMU,Bermuda,918,-5835227.75733208,2689877.12437819
