"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,19,,,1274,1554,79,,61,,,34,47,,,,,1,,,,0,,,77,,,,,,2731,,,,,0,,,,45,,,,14,,,,,0,14,,,142,,,,7,43,,,,,,,,,,0,1437,,,,,,12037,,,119,,,,,,,,,,,,152,0,6900,,1335672,81,5,,1442,60,,,31,,,,526,,,12,,,,121,,14,,,,14,,,,,,,,,,,,,,,,,,38,,,4079,,53,11,,,,,,67,,1651680,,,,,,6,25,,,103,,,,,9729,,,,,,,,,,55665,,,,,,,2,0,,,22,,7,0,,,,1479,692,0,4759,0,,,,,,,3777,163,,,,607,469,543,,12687,,,,,,,,,,,
"ALB",,,,,,,,,62,,,303,870,,,,,,,1055,,,,,6,,,,,,,49,,,,,,205,,,,,13,,,,19,,,,1,,0,109,,28,16,,,2,,,,4,37,,,,,,,,,,0,1534,,,,,,760,,,20993,,,,,,,,,,,,62,7,,,,,23,,,13273,,,,,,,,,,2,,,,106,,,139,,,,,,10,,,,,,,,,,,,,,,,,,74,,,,,,,26242,,8,,,,,,,,212,31,4,,,,,,327,523,,,,,,,,21,,,,44,,,,,2,5,,,44,,79,,,,,133,530,,,,,,,,,,375,,,,,,,65,,2407,,,,,8,,,,,,
"DZA",,,,,,,,,93,,,268,170,,,,,,3,10988,,,,,1,,,,,,,9,,,,,,1920,,,,,23,,,,8,,,,25,,0,48,,4,11,,,131,,,,4,360,,,,,,,,,,17,342465,45,219,14,,,2078,2,,39,,,38,,,,,,,,,11,2,,,,,32,,10342,2345,,,159,,,,,,,1,,,,1021,,,40,,,,,135,6,,23,642,,,23,,,,,,4330,,,380,,,509,222,,23,110,,,,,91,,,,,,,3,351,158,20,,,,,,1,664,,,,,,,,,,,2226,2,,,,,2,2,,,130,,4862,,,,,442,2049,,110,,,,,,,6912,40,,,,8,,,1241,,1674,,,,,44,,,23,,,
"ASM",,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,,,,,,,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,0,,,170,0,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,3,,,,17,,,,,,,,,,2,,,0,,,,,,,,,,,,,,,0,670,,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,,,,,0,8,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"AGO",,,,,,,,,13,,,133,85,,,,,,,618,,,,,2,,,262,2431,,,0,,,798,,0,649,,,,,2,,,,24,,5427,,3,,,86,,,4,,242957,18,,,,9,11,,,109,,1,,,,,2,4952,,,140,,,,,,9,,,,,,,,,,,,4,4,,,,,45,,,199,,,,,,,,,,1,,,,,,,,,,,,31,,,,,,,18,,,,,,,6596,,8935,,,609,,,,,,,,,15,,,,,,,5,259,0,75168,,,,,,,264,,,,,,,,,265,,,,,,,,2,,,,1989,,567,,,,,185,1720,,,,,,,,,,,,,,,,,318,290,1407,,,,,78,,,,,61728,
"AIA",,,,,,,,9,,,,,,,,,,,,,,,,,,80,,,,,,3,,,,,,54,,,,,5,,,,14,,,,,,,,,,,,,,,2,57,,,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,542,,,,,,,,,,
"ATG",,,,,,,,,,,,15,4,,6,,,153,,,,,,,2,176,,,,210,,0,,,,,,975,,,,,7,,,,27,,,,,,,,,,0,,,0,,87,132,,7,,,,,,,,,,,14,,,,,,,,,6,,11,,,,,,3,,,,,,,,,,0,,,0,61,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,90,,,,418,,,5,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,94,24,,23,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,226,,6717,2422,,,,,,,,,,
"ARG",,,,,40,,,,,,,6553,416,,4,,,,36,620,,,,,11239,9,,,13172,,,4,,,4,,,5470,1,,,,16484,,,,1075,,,,528,,97,181,,9,39,,,422,,,1096,705,128,112,,,,,,16,,,49,5545,,,,,,2290,,,331,,,,,163,,,,199,,61,12,1,,,,,33,,13211,20955,,1303,,,,,,,,6,,,,,0,38,19,,,,,,2,,,31,,,2198,,,,,,,,,47,,,862,,215,80,,,,,,242,,,,276,,25381,3578,11,115,164,650,,,,,7,296,,,,,,,,31,,,,3,,,,,11,40,,,397,,22753,,,,,951,2301,,,,,,,,,,16,,,,,,,413,,49422,,8901,,,4514,,,,,,
"ARM",,,,,,,,,639,,,208,828,107644,,,,,2688,3,,,,,0,,,,,,,602,,,,,,908,,,,,10,,,,,,,,2,,,,,133,91,,,188,,,,6,115,,,,240,,,,,,0,3557,,,,,2212,2352,,,5420,,,,,,,,,,,,100,1,,,223,,5,,,17,,,15,3134,,,,4189,,631,,,,327,,253,,,,,,,5,,,,,,27,,,,,,,,,1,,,20,,,,,,,,,0,,,,,,,,14,485,7,,,,,,0,272605,,,,,,,,,,,,14,,,,,18,,,,,,134,,,,,139,182,,143,,,,,,,,114,6128,,,,20083,,33,,21191,,,4681,,14,,,,,,
