"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,3,,,7330,4070,157,,178,,,199,31,,,,,0,,,,0,,,161,,,,,,10786,,,,,12,,,,59,,,,1,,,,,4,77,,,1594,,,,14,117,,,,,,,,,,141,1983,,,,,22,37331,,,279,,,,,,,,,,,,326,1,6593,,1248844,68,140,,1305,164,,,46,,,,823,,,22,,,,155,,23,,,,27,,,,,,,,,,,,,,,,,,23,,,11252,,347,21,,,,,,351,,1106710,,,,,,380,142,,,296,,,,,9896,,,,,,,,,,117007,,,,,,,276,0,,,20,,326,22,,,,2378,1766,87,7845,10,,,,,,,5149,769,,,,1874,1911,9425,,26035,,,,,,,,,,,
"ALB",,,,,,,,,83,,,873,1116,,,,,,,1056,,,,,0,,,,,,,276,,,,,,2993,,,,,11,,,,26,,,,3,,78,62,,72,56,,,35,,,,16,53,,,,,,,,,,22,1924,,,,,4,6288,,,235135,,,,,,,,,,,,63,7,,,,,204,,,146176,,,,,,,,,,4,,,,139,,,136,,,,,,19,,,,,,,,,,,,,,,,,,206,,,,,,,28917,,81,,,,,,,,286,36,25,,,,,,315,532,,,,,,,,5,,,,96,,,,,51,45,,,31,,383,,,,,202,646,,,,,,,,,,1563,,,,,,,1417,,22984,,,,,8,,,,,,
"DZA",,,,,,,,,133,,,750,686,,,,,,46,11875,,,,,7,,,,,,,98,,,,,,9923,,,,,26,,,,12,,,,4,,0,25,,8,140,,,617,,,,15,209,,,,,,,,,,327,463414,46,441,35,,7,12903,6,,189,,,58,,,,,,,,,351,18,,,,,490,,13880,11175,,,169,,,,,,,10,,,,1271,,,41,,,,,263,22,,41,1024,,,84,,,,,,4559,,,302,,,2604,376,,33,261,,,,,516,,,,,,,9,279,351,118,,,,,,6,676,,,,,,,,,,,1058,35,,,,,55,18,,,142,,12658,,,,,1110,4195,,63,,,,,,,5109,438,,,,0,,,7274,,7195,,,,,38,,,23,,,
"ASM",,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,,,,,,,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,15,2,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,5,,,,24,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,1,577,,,,,,,,,4,,,,,,,,,,,,,0,,,,,0,,,7,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1800,,,,,0,21,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
"AGO",,,,,,,,,8,,,229,132,,,,,,,373,,,,,1,,,671,3550,,,2,,,1148,,0,1180,,,,,33,,,,24,,14697,,1,,,62,,,59,,159759,52,,,,7,10,,,338,,85,,,,,60,6799,,,338,,,,,,8,,,,,,,,,,,,34,12,,,,,282,,,858,,,,,,,,,,1,,,,,,,,,,,,38,,,,,,,24,,,,,,,12090,,29488,,,2184,,,,,,,,,50,,,,,,,3,1170,28,81815,,,,,,,269,,,,,,,,,267,,,,,,,,15,0,,,9515,,1409,,,,,194,2601,,,,,,,,,,,,,,,,,2818,607,1729,,,,,86,,,,,120723,
"AIA",,,,,,,,15,,,,,,,,,,,,,,,,,,280,,,,,,13,,,,,,68,,,,,6,,,,24,,,,,,,,,,,,,,,7,97,,,,,,,,,,,,,6,,,,,,,,,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,,,565,,,,,,,,,,
"ATG",,,,,,,,,,,,15,0,,3,,,91,,,,,,,0,456,,,,227,,3,,,,,,1116,,,,,6,,,,10,,,,,,,,,,3,,,0,,155,157,,6,,,,,,,,,,,5,,,,,,,,,9,,17,,,,,,4,,,,,,,,,,2,,,1,80,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,49,,,,248,,,10,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,153,46,,30,,,,,,,,,,,,,,,,,,,,,,4,46,,,,,,,,,,,,,,,,,1697,,8477,2170,,,,,,,,,,
"ARG",,,,,80,,,,,,,5919,547,,3,,,,38,515,,,,,14043,16,,,15603,,,24,,,3,,,6608,5,,,,22791,,,,1434,,,,547,,66,87,,21,77,,,460,,,1828,1316,109,97,,,,,,24,,,77,4696,,,,,8,1861,,,233,,,,,195,,,,240,,78,118,9,,,,,183,,15074,7802,,1419,,,,,,,,7,,,,,0,39,18,,,,,,7,,,39,,,3312,,,,,,,,,25,,,904,,182,101,,,,,,244,,,,420,,32483,4050,396,97,473,598,,,,,4,303,,,,,,,,43,,,,17,,,,,23,83,,,490,,39327,,,,,1207,3174,,,,,,,,,,66,,,,,,,2796,,59027,,9589,,,4605,,,,,,
"ARM",,,,,,,,,583,,,465,1101,81860,,,,,3564,2,,,,,0,,,,,,,553,,,,,,882,,,,,4,,,,,,,,3,,,,,276,280,,,245,,,,8,44,,,,364,,,,,,9,3060,,,,,6721,5111,,,4263,,,,,,,,,,,,64,0,,,355,,32,,,104,,,10,3784,,,,2319,,669,,,,104,,470,,,,,,,8,,,,,,38,,,,,,,,,82,,,41,,,,,,,,,16,,,,,,,,72,499,30,,,,,,1,277944,,,,,,,,,,,,36,,,,,47,0,,,,,712,,,,,161,221,,82,,,,,,,,277,3648,,,,31247,,265,,33343,,,3594,,16,,,,,,
"ABW",,,,,,,,2,0,,,30,,,,,,,,,,,,,0,1314,,,,,,3,,,,,,290,,,,,2,,,,144,,,,17,,,,,,,,,0,,8,202,,,,,,,,,,,,,4,,,,,,,,,50,,,,,,,,,,,,,0,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,,1613,245,,,,173,,,,,,
"AUS",,,,,21,,,3,295,,,,887,,33,,,15,12,591,,,26,14,71,,,56,221,3,262,37,,,,144,,9035,45,8,,,503,2172,4284,,86,,,77,25,,320,,,650,67,68,,844,,1,56,86,183,8,,,,9,,6,,781,311,1787,,35,,,,3468,6,,9345,,,,,24,,,,,,,311,25,398,1215,,,2104,73,1229,1715,,4245,150,,,44,,,9,54,,,,349,,11,32,,,1461,26,,1886,,,,,,170,,,3,,,,,,275,100,,4434,130,26608,,,,5,,,506,,,,28,6878,,237,1381,327,539,,,645,,,52,395,,,,4,,,239,,,,,387,32,,2469,,90,150,193,,1372,,2128,96,,,,1342,2274,,,1069,209,,19,,,,1230,,,,,,,46800,,21865,,,,227,66,25,,,,40,
"AUT",,,,,,,,,932,,,11571,,,12,,,,18,1223,,,16,,72,,125,,1479,,,57,,,,,,10690,41,21,,,256,,,,110,,,,70,,618,,,66,1720,,,751,,,981,128,188,4,,,,,,,,,154,3991,,,,,14,95399,,,715,,,,,,,,,128,,,2937,34,,,,,195,,2862,2239,,220,80,,,,,,,56,,,,242,1147,20,199,,,,11,,23,,,,,,374,,,2,,,,,,433,,,2759,,570,23,,,,,,556,,,,33,,,78,921,2148,182,,,,,,284,1963,,,,6,,,,,,,,3652,,,,,1140,2510,,,1319,,2634,,,,,3362,19623,,32,,,,,,,,6649,,,,,,,5715,,24116,,,,,404,,,,,,
"AZE",,,,,,,,,,221595,,81,396,,,,,,8073,3,,,,,1,,,,,,,415,,,,,,518,,,,,0,,,,,,,,1,,,,,6,52,,,30,,,,,23,,,,855,,,,,,3,210,,,,,1985,6409,,,153,,,,,,,,,,,,48,1,,,555,,32,,7034,39,,,,18899,,,,4453,,1868,,,,,,922,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,25,,,,,,,,,115,5,,,,1046,,,486490,,,,,,,,,,,,,,,,,8,0,,,,,324,,,,,54,164,,70,,,,,,,,8093,3768,,,,52279,,260,,7256,,,11201,,,,,,,,
"BHS",,,,,,,,1,,,,126,9,,,,,29,,0,,,,,0,65,,,,5,,0,,,,,,615,99,,,,1,,,,,,,,7,,,,,0,,,,2,,2,45,11,2,,,,,,,,,,1,27,,,,,,,,,8,,13,,,,,,4,,,,3,0,,,,,16,,,8,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,28,,,23,,,,,,4,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,65,,,,,13,47,,,,,,,,,,,,249,,,,,818,,12079,,,,,,,,,,,
