"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,9,,,49550,8620,186,,656,,,282,12819,,,,,1,,,,69,,,330,,,,,,51641,,,,,45,,,,120,,,,4,,,,,8,418,,,12760,,,,112,146,,,,26,,,,,,5017,6507,,,,,40,83992,,,5810,,,,,,3,,,,,,1350,13,12924,,2348369,312,148,,2539,7505,,,60,,,,2669,,,27,,,,320,,20,,,,545,,480,,,,,,,,,,,,,,,,42,,,33852,,2540,61,,,,,,13270,,1710378,,,,,,1220,141,,,1571,,,,,5095,,,,,,,,,,385241,,,,,,,299,25,,,145,,458,131,,,,31267,12697,1022,12393,1,,,,,,,13601,231,,,,4812,7515,48633,,74106,,,,,,,,,,,
"ALB",,,,,,,,,66,,,3460,3147,,,,,,,9380,,,,,1,,,,,,,1130,,,,,,15270,,,,,75,,,,51,,,,4,,173,36,,290,309,,,334,,,,71,83,,,,20,,,,,,433,6964,,,,,10,15209,,,436566,,,,,,11,,,,,,243,45,,,,,297,,,446571,,,,,,,,,,9,,,,301,,,300,,,,,1284,106,,,,,,,,,,2754,,,,,,,,1192,,,,,,,67799,,979,,,,,,,,116,126,50,,,,,,3,234,,,,,,,,37,,,,467,,,,,99,148,,,251,,1938,,,,,2569,2978,,,,,,,,,,3325,,,,,,,9902,,91865,,,,,19,,,,,,
"DZA",,,,,,,,,104,,,1600,1290,,,,,,53,25666,,,,,3,,,,219,,,396,,,,,,64223,,,,,133,,,,26,,,,12,,56,15,,37,686,,,993,,,,48,616,,,,24,,,,,,1009,1488349,83,681,100,,17,19617,13,,1099,,,156,,,7044,,,,,,731,40,,,,,588,,45680,21990,,,333,,,,,,,15,,,,3589,,,100,,,,,480,72,,102,1634,,,103,,,,,,13281,,,473,,,3975,586,,113,460,,,,,1223,,,,,,,19,462,582,230,,,,,,130,778,,,,,,,,,,,4204,53,,,,,105,28,,,695,,56038,,,,,3022,9499,,129,,,,,,,10411,648,,,,0,,,22133,,19633,,,,,95,,,78,,,
"ASM",,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,20,2,,,,,,,,,,,,0,,,,12,,,0,,,,,,,,,,,27,,,,48,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,1,1020,,,,,,,,,3,,,,,,6,,,,,,,2,,,,,2,,,106,,,,,,,,,,0,,,,,,,,,,,,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,5900,,,,,5,100,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,
"AGO",,,,,,,,,9,,,560,341,,,,,,,6327,,,,,6,,,731,7694,,,9,,,370,,2613,3100,,,,,166,,,,55,,41238,,3,,,32,,,168,,185205,165,,,,42,20,,,346,5,131,,,,,532,22143,,,1011,,,,,,8,,,,,,115,,,,,,83,34,,,,,480,,,1819,,,,,,,,,,2,,,,,,,,,,,,1566,,,,,,,54,,,,,,,37716,,37350,,,5321,,,,,,,,,495,,,,,,,15,76,56,156251,,,,,,,511,,,,,,,,,358,,,,,,,,25,2,,,62147,,3553,,,,,742,6743,,,,,,,,,,,,,,,,,12753,1249,14068,,,,,188,,,,,27864,
"AIA",,,,,,,,39,,,,,,,,,,,,,,,,,,28,,,,,,33,,,,,,64,,,,,45,,,,43,,,,,,,,42,,,,,,,19,33,,,,,,,,,,,,,10,,,,,,,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,5,,,,,,,,,,,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,,,972,,,,,,,,,,
"ATG",,,,,,,,,,,,60,7,,14,,,194,,,,,,,0,25,,,,757,,5,,,,,,2295,,,,,36,,,,41,,,,,,,,54,,4,,,3,,442,179,,11,,,,2,,,,,,,63,,,,,,,,,29,,38,,,,4452,,19,,,,,,,,,,2,,,796,153,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,115,,,,459,,,32,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,404,90,,58,,,,,,,,,,534,,,,,,,,,,,,8,81,,,,,,,,,,,,,,,,,4738,,31677,4587,,,,,,,,,,
"ARG",,,,,682,,,,,,,15510,1523,,111,,,,102,2261,,,,,42691,3,,,34699,,,112,,,4,,,19310,12,,,,56363,,,,3343,,,,1468,,200,56,21,87,199,,,1273,,,1071,5399,174,216,,,27,,,26,,,476,13466,,,,,15,15626,,,639,,,,,554,112,,,437,,191,393,46,,,,,327,,39343,70140,,2924,,,,,,,,12,,,,,26,53,39,,,,,,14,,,66,,,15440,,,,,,,,,48,,,3170,,1770,270,,,,,,1098,,,,2550,,57056,14386,148,272,1320,1180,,,,,24,252,,,,,,,,85,,,,49,,,,,83,417,,,3699,,251841,,,,,3152,8895,,,,,,,,,,140,,,,,,,10778,,199314,,27662,,,9944,,,,,,
"ARM",,,,,,,,,561,,,1460,3051,148503,,,,,5728,1413,,,,,5,,,,63,,,1565,,,,,,4139,,,,,30,,,,,,,,7,,,,,1229,1865,,,712,,,,37,111,,,,687,,,,,,114,19851,,,,,12358,10629,,,14257,,,,,,9,,,,,,184,8,,,2479,,53,,,1359,,,25,9144,,,,2380,,693,,,,255,,579,,,,,,,38,,,,,,101,,,,,,,,,61,,,850,,,,,,,,,304,,,,,,,,135,2104,100,,,,,,32,527287,,,,,,,,,,,,158,,,,,148,13,,,,,9516,,,,,2674,986,,194,,,,,,,,796,7113,,,,47307,,1400,,94229,,,5870,,34,,,,,,
"ABW",,,,,,,,5,1,,,70,,,,,,,,,,,,,2,755,,,,,,5,,,,,,571,,,,,12,,,,321,,,,32,,,,1708,,,,,6,,47,160,,,,,,,,,,,,,11,,,,,,,,,0,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3994,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,29,,,,,,,,,,,,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,,6591,501,,,,486,,,,,,
